
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я желаю отсрочить назначение лорда.
dlga_master_craftsman_auction_price:master_craftsman_auction_decide|Жаль, {Милорд/Миледи}. Если мы продадим землю и оборудование, а также запасы. Я считаю что мы сможем получить {reg4} динаров.
dlga_master_craftsman_auction_decide:master_craftsman_liquidation|Звучит не плохо. Продавайте...
dlga_master_craftsman_auction_decide:master_craftsman_pretalk|Хмм.. Мне нужно обдумать этот вопрос..
dlga_master_craftsman_liquidation:close_window|Как вам будет угодно. Это была честь для меня работать на вас.
dlga_master_craftsman_talk:close_window.1|Это все на даный момент.
dlga_start:mayor_begin|Добрый день, мой господин.
dlga_start:mayor_talk|Добро пожаловать в {s9}. Я гильдмастер этого города.
dlga_start:mayor_begin.1|Добрый вам день, {playername}.
dlga_mayor_begin:lord_persuade_lords_to_make_peace_completed|Казалось, что {s14} и {s15} - непримиримые враги, но вам, {playername}, удалось добиться мира между ними. Вы спасли наш город и сотни невинных душ. Беды и горести оставили на время наш край. Что же до наших обязательств, знай, что люди {s19} верны своему слову, и мы готовы заплатить обещанные {reg12} динаров.
dlga_lord_persuade_lords_to_make_peace_completed:lord_persuade_lords_to_make_peace_pay|Спасибо. Теперь давайте деньги.
dlga_lord_persuade_lords_to_make_peace_completed:lord_persuade_lords_to_make_peace_no_pay|Не нужно денег - всякий на моем месте поступил бы так же.
dlga_lord_persuade_lords_to_make_peace_pay:close_window|О, да, конечно. Мы уже приготовили деньги для вас. Вот, пожалуйста! Даже {reg12} динаров будет недостаточно, чтобы выразить нашу благодарность. И я, и другие горожане не забудем вашу помощь.
dlga_lord_persuade_lords_to_make_peace_no_pay:close_window|Вы, в самом деле, удивительный человек, {господин/госпожа}! Знакомство с вами для меня большая честь. Вы не только положили конец этой ужасной войне, но и от награды отказываетесь. Конечно, я не буду настаивать, но хочу, чтобы вы знали: мы всегда будем поминать вас в наших молитвах.
dlga_mayor_begin:lord_deal_with_night_bandits_completed|Прекрасная работа, {playername}, быстро вы разобрались с этими мерзавцами. Благодарю вас за всю вашу помощь. Примите, пожалуйста, вознаграждение в размере 150 динаров.
dlga_lord_deal_with_night_bandits_completed:close_window|Мне было приятно помогать вам, {s65}.
dlga_mayor_begin:mayor_looters_quest_response|А, {playername}. Как ваши успехи?
dlga_mayor_looters_quest_response:mayor_looters_quest_destroyed|Мне удалось убить несколько грабителей.
dlga_mayor_looters_quest_response:mayor_looters_quest_goods|У меня есть для вас кое-какие товары.
dlga_mayor_looters_quest_response:close_window|Еще нет. Прощайте.
dlga_mayor_looters_quest_destroyed:mayor_looters_quest_destroyed_2|Да, мои соглядатаи мне все рассказали. Они говорят, теперь эти твари дважды подумают, прежде чем творить беззакония в наших краях! Я вам обещал по 40 динаров за каждую шайку. Быть по сему! Держите {reg1} динар.
dlga_mayor_looters_quest_destroyed_2:close_window|И это не единственная хорошая новость! Благодаря вам разбойники нам больше не угрожают! Уже довольно долго их никто не видел: если кто из них и остался в живых, они или сбежали, или попрятались. Это очень хорошо для торговли, а что хорошо для торговли, хорошо и для всего города. Думаю, на этом наше соглашение выполнено, {playername}. Пожалуйста, примите это серебро в благодарность. Прощайте! Храни вас бог.
dlga_mayor_looters_quest_destroyed_2:mayor_looters_quest_response|Вам что-нибудь еще нужно?
dlga_mayor_looters_quest_goods:mayor_looters_quest_goods_response|Ха, я знал, что могу на вас рассчитывать! Просто скажите мне, что нужно забрать из вашей поклажи, и я пошлю своих людей. Мне все еще нужны товары не дешевле {reg1} динаров.
dlga_mayor_looters_quest_goods_response:mayor_looters_quest_goods_2|{s5}.
dlga_mayor_looters_quest_goods_response:mayor_looters_quest_goods_3|В данный момент ничего, сударь.
dlga_mayor_looters_quest_goods_3:mayor_looters_quest_response|Вам что-нибудь еще нужно?
dlga_mayor_looters_quest_goods_2:mayor_looters_quest_goods_response|Хорошо, вот деньги за товар. {s6} - это отлично. У вас есть какие-нибудь еще товары на {reg1} динаров?
dlga_mayor_looters_quest_goods_2:close_window|Хорошая работа, {playername}. Больше мне ничего из товаров не нужно. Вот деньги за {s6} и еще немного за помощь. Боюсь, я больше не смогу платить за товары и выплачивать вознаграждение за грабителей, но вы можете продолжать охотиться на них - ежели они вам вдруг повстречаются. Спасибо за помощь, я этого не забуду.
dlga_mayor_begin:close_window|Приятно снова видеть вас, {playername}. Я слышал, вы успешно доставили скот. Я расскажу купцам, что на вас можно рассчитывать. А вот и плата, {reg8} динаров.
dlga_mayor_begin:move_cattle_herd_failed|Я слышал, вы потеряли скот по дороге в {s9}. Мне будет очень сложно объяснить ваш промах хозяину стада, {господин/госпожа}. Что вы на это можете сказать?
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2|Мне очень жаль. На меня напали по дороге.
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2.1|Мне жаль. Эти безмозглые животные разбрелись ночью.
dlga_move_cattle_herd_failed_2:merchant_ask_for_debts|Что ж, вы были обязаны перегнать стадо во что бы то ни стало. Вам, должно быть, известно, что владелец стада потребовал возместить убытки, и мне пришлось заплатить ему 1000 динаров. Так что теперь вы должны мне эти деньги.
dlga_mayor_begin:close_window.1|{Дорогой/дорогая} {playername}. Вы вернули моему другу дочь, и я в неоплатном долгу перед вами. Чтобы отблагодарить вас, {reg8} динаров будет, конечно, недостаточно, но это все, что у меня есть. Мой друг хотел бы дать больше, но ему пришлось заплатить выкуп, и это подкосило его дела.
dlga_mayor_begin:mayor_friendly_pretalk|Говорят, вам удалось выследить бандитов и показать им, что бывает с теми, кто устраивает засады на торговых путях. Вот ваша награда - {reg5} динар. Вы их с честью заслужили, и мы вам весьма благодарны.
dlga_mayor_begin:mayor_friendly_pretalk.1|Я слышал о ваших деяниях. Вы наказали этих разбойников по заслугам. Правду о вас говорят - вы мастер своего дела. Чтобы отблагодарить вас, {reg5} динаров будет, конечно, недостаточно, но больше у меня нет: эти бандиты едва не разорили меня.
dlga_mayor_begin:merchant_ask_for_debts|Согласно моим записям, вы задолжали гильдии торговцев {reg1} динаров. Я бы хотел получить эти деньги сейчас.
dlga_merchant_ask_for_debts:merchant_debts_paid|Хорошо. Я выплачу вам свой долг.
dlga_merchant_debts_paid:mayor_pretalk|Отлично! Я дам знать своим собратьям по гильдии, что вы расплатились с долгами.
dlga_merchant_ask_for_debts:merchant_debts_not_paid|Боюсь, что не могу выплатить эту сумму сейчас.
dlga_merchant_debts_not_paid:close_window|Тогда, боюсь, я не смогу иметь с вами больше дел. По правилам цеха... Без {reg1} динаров можете и не возвращаться. И знайте, на ваш долг будут начислены проценты. Так что, чем скорее вы заплатите, тем лучше.
dlga_mayor_begin:mayor_talk|Что я могу для вас сделать?
dlga_mayor_friendly_pretalk:mayor_talk|Сейчас... что я еще могу для вас сделать?
dlga_mayor_pretalk:mayor_talk|Да?
dlga_mayor_talk:mayor_info_begin|Вы можете мне рассказать о том, что делаете?
dlga_mayor_talk:merchant_quest_requested|У вас часом нет для меня никакой работы?
dlga_mayor_talk:merchant_quest_last_offered_job|Касательно той работы, что вы мне предложили...
dlga_mayor_talk:merchant_quest_about_job|Что касается работы, которую вы мне дали...
dlga_mayor_talk:mayor_political_talk|У меня есть несколько вопросов политического свойства.
dlga_mayor_talk:mayor_economy_report_1|Как идет торговля?
dlga_mayor_talk:mayor_wealth_comparison_1|Как богатства этого региона сравнить с остальными регионами Кальрадии?
dlga_mayor_talk:mayor_investment_possible|Я хочу купить у города землю и попробовать заработать с него денег.
dlga_mayor_investment_possible:mayor_pretalk|Хм, {playername}, у вас здесь уже есть {s4}. Вряд ли вы наберете людей, чтобы затеять еще одно предприятие.
dlga_mayor_investment_possible:mayor_pretalk.1|{s9}
dlga_mayor_investment_possible:mayor_investment_advice.1|Разумеется, {господин/госпожа}. Кому придет в голову мешать правителю города?
dlga_mayor_investment_possible:mayor_investment|Хм... Принимая во внимание ваши отношения с нашим покровителем, {s4}, я думаю, что вряд ли вы найдете здесь много смельчаков, готовых продать вам землю.
dlga_mayor_investment_possible:mayor_pretalk.2|Что ж... Думаю, сперва гильдия захочет узнать вас получше. Она обычно не в восторге, если чужаки пытаются купить землю.
dlga_mayor_investment_possible:mayor_investment_advice.2|Прекрасно, {господин/госпожа}. Мы в гильдии знаем вас и доверяем вам. Мне кажется, я смогу найти того, кто продаст вам землю.
dlga_mayor_investment_advice:investment_choose_enterprise|Дам вам пару советов. Опытные работники всегда ценятся на вес золота, так что вряд ли вы откроете здесь более одного предприятия. Чтобы получать прибыль, вы должны производить товар, пользующийся здесь большим спросом, но материалы для его производства должны быть дешевы. Какое предприятие вы намерены основать?
dlga_investment_choose_enterprise:investment_summary|Мельницу и пекарню: буду делать муку и печь хлеб.
dlga_investment_choose_enterprise:investment_summary.1|Пивоварню: буду делать душистый хмельной эль.
dlga_investment_choose_enterprise:investment_summary.2|Кожевенную мастерскую: буду делать кожаные изделия.
dlga_investment_choose_enterprise:investment_summary.3|Винодельню: буду делать ароматное вино.
dlga_investment_choose_enterprise:investment_summary.4|Маслобойню: буду делать оливковое масло.
dlga_investment_choose_enterprise:investment_summary.5|Кузницу: буду ковать вещи из железа.
dlga_investment_choose_enterprise:investment_summary.6|Ткацкую мастерскую и красильню: буду делать бархат из шелка и краски.
dlga_investment_choose_enterprise:investment_summary.7|Ткацкую мастерскую: буду делать шерстяную ткань из шерсти.
dlga_investment_choose_enterprise:investment_summary.8|Ткацкую мастерскую: буду изготовлять полотно из льна.
dlga_investment_choose_enterprise:mayor_pretalk|Ничего
dlga_investment_summary:mayor_investment_confirm|Прекрасно, сударь. Земля и материалы, из которых вы построите {s3} обойдутся вам в {reg7} динаров. В настоящее время цена единицы {s4} составляет {reg1} динаров, а на производство одной единицы потребуется {s6}, общей стоимостью {reg2} динаров. Мне кажется, что за вычетом всех затрат на производство ваша прибыль составит {reg0} динаров в месяц, если вы, конечно, все распродадите. И при условии, что цены останутся прежними, а я почти гарантирую, что прежними они не останутся. Вы желаете продолжить?
dlga_mayor_investment_confirm:mayor_investment_purchase|Да. Вот деньги за землю.
dlga_mayor_investment_confirm:mayor_pretalk|Нет, на даный момент это мне не подходит по экономическим соображениям.
dlga_mayor_investment_purchase:mayor_pretalk|Очень хорошо. Ваше производство должно будет запуститься в течении недели. Когда приедете в следующий раз, обратитесь к {s4} насчет этого дела.
dlga_mayor_talk:close_window|[Уйти]
dlga_mayor_info_begin:mayor_info_talk|Я гильдмастер {s9}. Можно сказать, руковожу всем честным народом {s9}. Могу помочь вам с работой, если вы ищете законный заработок.
dlga_mayor_info_talk:mayor_info_lord|Кто правит этим городом?
dlga_mayor_info_lord:mayor_info_talk|Господином и защитником нашего города сейчас является {s10}. Он владеет замком и иногда живет здесь, а также собирает налоги с города. Однако большую часть вопросов, касающихся городской жизни, мы решаем сами. У меня, как у гильдмастера города, для этого достаточно полномочий.
dlga_mayor_info_talk:mayor_pretalk|Это все, что мне нужно было узнать. Спасибо.
dlga_mayor_political_talk:mayor_political_questions|Политика? Святые угодники, цеху нет никакого дела до политики! Мы - верные подданные {s10}. Вообще-то от гильдии в городе не так уж много зависит - все решают лорды и гильдмастера. А остальная гильдия может разве что предупредить, если затевается какая-то глупость. Ну, ладно. Что еще вы хотели узнать?
dlga_mayor_prepolitics:mayor_political_questions|Кстати, вы же знаете, что мы все здесь {s9}? Это очень важно... Ну да ладно. Что-нибудь еще?
dlga_mayor_political_questions:mayor_war_description_1|Почему в Кальрадии постоянно идут войны?
dlga_mayor_war_description_1:mayor_war_description_2|Если разобраться, дело вот в чем: каждый король считает себя законным наследником древних императоров Кальрадии. Часть этих притязаний опирается на былые династические браки, другие - на давно позабытые обещания, а {s22} родоки - на неписаный свод законов империи. Так что любой правитель имеет все основания объявить войну любому соседу.
dlga_mayor_war_description_2:mayor_war_description_3|На деле же война требует основательной подготовки. Конечно, можно просто сжечь поля врага, но земля даст новый урожай. Захватить и удержать чужую твердыню куда как тяжелее. Поэтому правители Кальрадии сражаются понемногу, потом заключают перемирия, снова сражаются и так без конца. Часто правитель вступает в войну, поддавшись на провокацию. Некоторые не слишком честные вельможи живут за счет грабежа и выкупа с заложников. Кроме того, даже самая дорогая война приносит больше чести правителю, чем позорный и трусливый мир... Конечно, я не говорю о {s10}, ибо никто не ставит под сомнение {reg4?ее:его} величие.
dlga_mayor_war_description_3:mayor_war_description_4|Хочу напомнить, что наш цех не интересуется политикой. Но если бы {s10} спросили моего совета, то как верный слуга короны, я бы сказал так: можно сколько угодно мечтать о троне всей Кальрадии, но без крепкой армии в этом деле не продвинешься ни на шаг. Армии же нужны деньги, а деньги идут с торговли, которая страдает от войн. Так что порой лучший способ борьбы за престол - это не бороться вовсе... Если вы понимаете, о чем я.
dlga_mayor_war_description_4:mayor_prepolitics|Можете передать {s10}, если {reg4?ее:его} увидите. Только не упоминайте моего имени. Просто скажите, что "вам сказали люди из {s4}". Конечно, это наше личное мнение. Думаем, это в интересах {s10}. Разумеется, никто из нас и в мыслях не собирается оспаривать монаршее право выдвигать законные притязания на {reg4?ее:его} трон.
dlga_mayor_political_questions:mayor_politics_assess|Какие отношения у {s10} с другими землями Кальрадии?
dlga_mayor_politics_assess:mayor_politics_assess_realm|Смотря что за земли.
dlga_mayor_politics_assess_realm:mayor_politics_give_realm_assessment|{s11}
dlga_mayor_politics_give_realm_assessment:mayor_prepolitics|{s14}
dlga_mayor_political_questions:mayor_internal_politics|Что вы можете рассказать о внутренней политике королевств?
dlga_mayor_internal_politics:mayor_internal_politics_2|Здесь, в {s4}, мы все любим {s5} и поддерживаем {reg4?ее:его} притязания на трон всей Кальрадии. Но я так понимаю, что не все земли с нами согласятся.
dlga_mayor_internal_politics_2:mayor_internal_politics_3|У каждого лорда свои понятия о чести, о том, как вести войну и о других господских штуках. К тому же знать постоянно грызется за внимание короля, старается урвать кусок пожирнее и постоянно беспокоится о том, что о них подумают окружающие.
dlga_mayor_internal_politics_3:mayor_internal_politics_4|А еще вассал может оставить своего господина и дать новую присягу. Это тоже подливает масла в огонь: на словах каждый клянется своему сюзерену в верности, а на деле только и ищет, как бы нарушить данное слово. Вассал может заявить, что его господин не выполняет своих обещаний, не дает защиты или ведет себя неподобающе или вообще неправедно получил власть. И все это дворяне делают как будто из лучших побуждений!
dlga_mayor_internal_politics_4:mayor_internal_politics_5|Сеньоры и вассалы постоянно ждут друг от друга предательства. Если король сочтет, что его вассал хочет отложиться, то может обвинить его в измене и наложить руку на его имущество. Верно и обратное: если вассал опасается обвинения, он может восстать или отложиться. Обычно тот, кто сделает первый шаг, успевает получить контроль над крепостями вассала.
dlga_mayor_internal_politics_5:mayor_prepolitics|Ясное дело, что доверие к отложившемуся вассалу падает, как и к королю, который часто обвиняет своих подданных. С другой стороны, только всеобщее недоверие и удерживает наши земли от развала. Но если отношения между господином и вассалом становятся слишком натянутыми, становится очень жарко... Конечно, я говорю о других странах. В {s4} такого и быть не может.
dlga_mayor_political_questions:mayor_pretalk|Это все, спасибо.
dlga_merchant_quest_about_job:merchant_quest_about_job_2|А что такое?
dlga_merchant_quest_about_job_2:merchant_quest_what_if_fail|А что, если я не смогу закончить это дело?
dlga_merchant_quest_about_job_2:merchant_quest_about_job_working|Ну, я все еще над этим работаю.
dlga_merchant_quest_about_job_working:mayor_pretalk|Хорошо. Я уверен, вы справитесь.
dlga_merchant_quest_last_offered_job:merchant_quest_brief|А, вы хотите пересмотреть решение. Ладно...
dlga_merchant_quest_what_if_fail:mayor_pretalk|Я надеюсь, вы не провалите дело. Иначе мне придется стребовать с вас цену груза, который вы перевозили.
dlga_merchant_quest_what_if_fail:mayor_pretalk.1|Хорошо, сделайте все, что в ваших силах, чтобы завершить это дело.
dlga_merchant_quest_taken:mayor_pretalk|Отлично, я рассчитываю на вас. Удачи!
dlga_merchant_quest_stall:mayor_pretalk|Ладно, люди для этого задания мне будут нужны еще несколько дней, я думаю. Дайте мне знать, если решитесь взяться за него.
dlga_mayor_economy_report_1:mayor_economy_report_2|{s32}
dlga_mayor_economy_report_2:mayor_economy_report_3|{s42}
dlga_mayor_economy_report_3:mayor_pretalk|{s47}
dlga_merchant_quest_requested:merchant_quest_brief|Ну, вы кажетесь достаточно умелым человеком. Думаю, у меня нашлось бы для вас дело.
dlga_merchant_quest_brief:merchant_quest_looters_choice|{s5} недавно разграбили. Тут неподалеку произошло сражение, потом, понятное дело, началась обычная суматоха, паника, так что кое-какие не шибко честные горожане пошли грабить торговые лавки и окрестные фермы. Много дорогих товаров разворовали. Мне нужен кто-то, кто преподал бы урок этим негодяям. Подходит вам такая работа?
dlga_merchant_quest_looters_choice:merchant_quest_looters_brief|Да, я возьмусь за это.
dlga_merchant_quest_looters_choice:merchant_quest_stall|Боюсь, что сейчас я этим заняться не смогу.
dlga_merchant_quest_looters_brief:close_window|Отлично! Сейчас эти грабители все еще шныряют неподалеку отсюда - возможно, они вошли во вкус и пытаются найти новые жертвы. Убьете вы их или захватите, мне все равно. Но знайте, я плачу по 40 динаров за каждую уничтоженную шайку мародеров - до тех пор, пока со всеми не разберемся.
dlga_merchant_quest_requested:merchant_quest_explain_2|Ну, вы можете нам здорово помочь... Может, вы слышали, что {s10} перешли границу и напали на наших людей? Самые воинственные вассалы {s5} убеждают его ответить ударом на удар. Тут одна проблема: пока сильные мира решают вопросы чести, простой люд, как всегда, страдает.
dlga_merchant_quest_explain_2:merchant_quest_brief|Мы же не говорим, что {s5} надо вовсе закрыть глаза на всю эту историю, ни в коем разе! Но стоит ответить на провокацию, как тут же разразится новая война! Однако если {s10} правителя вызовет и победит пришлый воин, то и честь будет восстановлена, и причин для войны не будет. А если бы побежденным лордом оказался известный бузотер {s7}, то и мстить за него никто особенно не станет.
dlga_merchant_quest_brief:merchant_quest_retaliate_confirm|Так вот, атакуйте {s7} и победите его. Это само по себе непросто, а кроме того нападение может подпортить вам отношения с {s10}, но мы будем вам очень признательны. Говорить в открытую, что мы вас наняли, мы, понятное дело, не станем, но будьте уверены: вознаграждение за труды будет преотличное... Возьметесь нам помочь?
dlga_merchant_quest_retaliate_confirm:merchant_quest_track_bandits_brief|Да, я могу это сделать.
dlga_merchant_quest_retaliate_confirm:merchant_pretalk|Мне бы не хотелось встревать в междоусобицу.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice|Налетчики, скорее всего, прячут свои корабли в укромной бухточке на побережье, предположительно рядом с источником пресной воды. Чтобы обнаружить их убежище, лучше всего проследить за группой морских налетчиков, которые возвращаются на свою базу пополнить запасы.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.1|Обычно такие бандиты устраивают себе логово в холмах на границе пустыни, часто в ущелье с источником воды. Там они скрываются от посторонних глаз и пополняют запасы. Чтобы обнаружить их убежище, лучше всего проследить за группой пустынных бандитов, которые возвращаются в логово пополнить запасы.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.2|Обычно такие бандиты устраивают себе логово в горах, часто на широком уступе, откуда открывается вид на прилегающие земли. Там их труднее застать врасплох. Чтобы обнаружить их убежище, лучше всего проследить за группой бандитов-горцев, которые возвращаются в логово пополнить запасы.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.3|Обычно такие бандиты устраивают свой лагерь в глухих лесах, часто посреди болота. Чтобы обнаружить их убежище, лучше всего проследить за группой лесных бандитов, которые возвращаются в лагерь пополнить запасы.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.4|Обычно такие бандиты устраивают свой лагерь в рощицах посреди степи, где им легче скрыться. Чтобы обнаружить их убежище, лучше всего проследить за группой степных бандитов, которые возвращаются в лагерь пополнить запасы.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.5|Обычно такие бандиты устраивают свой лагерь глубоко в лесу. Чтобы обнаружить их убежище, лучше всего проследить за группой тундровых бандитов, которые возвращаются в лагерь пополнить запасы.
dlga_merchant_quest_track_bandit_lair_choice:merchant_quest_destroy_lair_brief|Я возьмусь за это.
dlga_merchant_quest_track_bandit_lair_choice:lord_pretalk|Боюсь, я сейчас не могу этим заниматься.
dlga_merchant_quest_destroy_lair_brief:close_window|Прекрасно. Мы будем ожидать вестей об успехе вашего предприятия.
dlga_merchant_quest_requested:merchant_quest_brief.1|До нас дошли слухи, что {s4} путники, на дороге у {s5} были атакованы {s7}.
dlga_merchant_quest_brief:merchant_quest_track_bandits_choice|Мы хотим, чтобы вы отыскали этих {s4}. Городские торговцы постараются дать описание главаря этих разбойников, ну и награду за расправу наберут. Если сможете найти и перебить бандитов, мы в долгу не останемся...
dlga_merchant_quest_track_bandits_choice:merchant_quest_track_bandits_brief|Я возьмусь за это.
dlga_merchant_quest_track_bandits_brief:close_window|Прекрасно. Шайка может странствовать где угодно, но наверняка бандитов встречали и помнят другие путешественники.
dlga_merchant_quest_track_bandits_choice:merchant_quest_stall|Боюсь, я сейчас не могу этим заниматься.
dlga_merchant_quest_requested:merchant_quest_brief.2|Вы ищете работу? Я искал кого-то, кто мог бы доставить {s4}. Может быть, вы взялись бы за это...
dlga_merchant_quest_brief:merchant_quest_brief_deliver_wine|Мне нужно доставить {s6} в таверну {s4}. За доставку {reg5} единиц за 7 дней плачу не меньше {reg8} динаров. Что скажете?
dlga_merchant_quest_brief_deliver_wine:merchant_quest_taken|Хорошо. Я займусь доставкой.
dlga_merchant_quest_brief_deliver_wine:merchant_quest_stall|Боюсь, что не могу сейчас взять весь этот груз.
dlga_merchant_quest_requested:merchant_quest_brief.3|Вы ищете работу? Мне нужен человек для сопровождения для каравана. Интересно вам такое задание?
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|Я собираюсь послать в {s8} караван с товарами. Однако на дорогах полно разбойников и дезертиров, и я не хочу отправлять караван без защиты. Если бы вы сумели привести караван на место за 15 дней, то заработали бы {reg8} динаров. Конечно, в вашем отряде должно быть не меньше {reg4} человек, чтобы охрана была мало-мальски надежной.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|Хорошо. Я буду сопровождать ваш караван.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|Я боюсь, что у меня в отряде не найдется столько бойцов.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|Прошу прощения, я не могу заняться этим сейчас.
dlga_start:close_window.38|День добрый, {сударь/сударыня}. Большая честь - видеть вас в {s10}.
dlga_start:close_window.39|Будьте как дома, но не забывайте, что вы в гостях. Тогда мы поладим.
dlga_start:merchant_caravan_intro_1|Приветствую. Вы поедете с нами, так?
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|Да. Меня зовут {playername}. Я буду сопровождать вас до {s1}.
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|Что ж, приятно узнать, что мы отправимся не одни. Что вы хотите, чтобы мы сделали?
dlga_start:escort_merchant_caravan_talk|Хм. До сих пор мы и сами справлялись... Чего вы хотите от нас?
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|Вы поедете за мной. Я поведу вас безопасным путем.
dlga_merchant_caravan_follow_lead:close_window|Хорошо. Мы последуем прямо за вами.
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|Ждите здесь. Я поеду вперед и разведаю дорогу.
dlga_merchant_caravan_stay_here:close_window|Хорошо. Мы будем ждать.
dlga_merchant_quest_requested:merchant_quest_brief.4|Честно говоря, мне очень нужен надежный и умелый помощник. Банда разбойников похитила дочь моего друга и теперь требует выкупа. Мой друг готов им заплатить, но нам нужен кто-то, чтобы передать деньги этим мерзавцам и вернуть девочку.
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|Думаю, {reg8} динаров за поимку этих мерзавцев вам хватит. Это опасное дело, но я уверен, что вы с ним справитесь. Что скажете?
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|Хорошо. Я поймаю этих разбойников.
dlga_merchant_quest_taken_bandits:close_window|Правда? Отрадно слышать! Что ж, удачи вам!
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|Прошу прощения. У меня нет сейчас на это времени.
dlga_merchant_quest_requested:merchant_quest_brief.5|Мне вообще-то очень нужен надежный человек. Шайка разбойников похитила дочь моего друга и теперь требует за нее выкуп. Мой друг готов его заплатить, но нам нужен кто-то, кто передал бы деньги этим шакалам и вернул девочку домой в целости и сохранности. 
dlga_merchant_quest_brief:kidnapped_girl_quest_brief|Разбойники требуют выкуп в размере {reg12} динаров. Я дам вам эти деньги, если вы возьметесь за задание. У вас будет 15 дней, чтобы передать деньги разбойникам, место встречи - деревня {s4}. Эти ублюдки сказали, что убьют бедную девочку, если не получат денег к концу срока. Когда вернете девочку в целости и сохранности, получите {reg8} динаров.
dlga_kidnapped_girl_quest_brief:kidnapped_girl_quest_taken|Хорошо. Я отнесу выкуп бандитам и верну девочку.
dlga_kidnapped_girl_quest_taken:close_window|Хорошо. Я знал, что в этом деле могу вам доверять. Вот выкуп в динарах. Пересчитайте, их должно быть {reg12}. И, пожалуйста, постарайтесь не делать опрометчивых поступков. Помните, что благополучие девочки важнее всего...
dlga_kidnapped_girl_quest_brief:merchant_quest_stall|Сожалею, у меня нет сейчас на это времени.
dlga_start:close_window.40|Добрый день, {господин/госпожа}. Приятно видеть вас здесь.
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2a|Да. Пойдем со мной. Мы возвращаемся домой.
dlga_kidnapped_girl_liberated_map_2a:close_window|Как жаль, что у вас в отряде нет места для меня.
dlga_kidnapped_girl_liberated_map_2a:close_window.1|О, правда? Большое вам спасибо!
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2b|Подожди здесь немного. Я вернусь за тобой.
dlga_kidnapped_girl_liberated_map_2b:close_window|О, пожалуйста, {господин/госпожа}, не бросайте меня тут одну-одинешеньку!
dlga_start:kidnapped_girl_liberated_map|О, {господин/госпожа}, спасибо, что спасли меня. Вы отвезете меня домой?
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2a|Да. Пойдем со мной. Мы возвращаемся домой.
dlga_kidnapped_girl_liberated_battle_2a:kidnapped_girl_liberated_battle_2b|Как жаль, у вас в отряде нет места для меня.
dlga_kidnapped_girl_liberated_battle_2a:close_window|О, правда? Большое вам спасибо!
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2b|Подожди здесь немного. Я вернусь за тобой.
dlga_kidnapped_girl_liberated_battle_2b:close_window|О, пожалуйста, {господин/госпожа}, не оставляйте меня тут одну-одинешеньку!
dlga_start:kidnapped_girl_liberated_map.1|Можно мне теперь пойти с вами?
dlga_start:bandits_awaiting_ransom_intro_1|Это ты что ли за девкой? Деньги гони.
dlga_start:bandits_awaiting_ransom_intro_1.1|А, снова ты? Деньги гони, или че ваще.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_pay|Вот деньги, берите. Только отпустите девочку.
dlga_bandits_awaiting_ransom_pay:close_window|Хех, а что, и правда деньги, не железо... Забирай свою девку. Все бы так быстро соображали, как ты.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_b|Нет! Сначала отпустите девочку!
dlga_bandits_awaiting_ransom_b:bandits_awaiting_ransom_b2|Хорош играться, деньги давай!
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_pay|Хорошо. Вот ваши деньги. Отпустите девочку.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_no_money|Деньги остались лежать в надежном месте. Я пойду принесу их.
dlga_bandits_awaiting_ransom_no_money:close_window|Лучше не зли нас! А ну живо вали за деньгами!
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_fight|Я не собираюсь ничего вам платить. Я требую, чтобы вы немедленно отпустили девочку!
