qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_You_are_in_Kingdom_of_B|Вы в королевстве Брихейниог.^^Брихейниог было маленькое независимое королевство в Южном Уэльсе. Оно часто выступало в качестве буферного государства между Англией на востоке и мощным Валлийским королевством на западе. Королевство Брихейниог было, вероятно, основано ирландскими налетчиками,  мощность которого выросла в Уэльсе, пока оно не было ослаблено сыновьями Кунеда ап Эдерна.
qstr_You_are_in_Kingdom_of_A|Вы в королевстве Альт-Клут.^^Альт-Клут является одним из королевств бриттов, расположенным в северной части англо-Саксонской области и на юге Альбы. Она возникла после распада Римской империи со столицей в городе Альт-Клут. Бритты Альт-Клута победили людей Дал Риада в то время как пикты нападали безуспешно три раза. После этого, Альянс пиктов и Нортумбрии осадил Альт-Клут и город был взят несколько лет спустя. Однако 18 лет назад люди Альт-Клут смогли сжечь город пиктов Данблейн.
qstr_You_are_in_Kingdom_of_C|Вы в королевстве Корнубия.^^ Королевство Корнубия - появилось на полуострове с юго-востока Великобритании граничит на севере и западе с кельтским морем и на Ла-Манш. Корнубия была домом кельтского племени, известное как Корновии, отделенный от бриттов Уэльса после битвы при Деорхаме, часто в состоянии войны с расширяющемся королевством Западных Саксов. Бритский язык и культура были, по-видимому, общими для бриттов торговавших по обе стороны канала, и добычей олова важной в экономике Корниш.
qstr_You_are_in_Kingdom_of_GL|Вы в королевстве Гливисинг.Постримское и раннесредневековое государство (скорее княжество, чем королевство) в Юго-Восточном Уэльсе.^^ Маленькое кельтское королевство Гливисинг было основано из Западного кусок бывшего Силуреса, Евгений, сын Верховного короля Магна Максима. Это был самый Романизированный район Уэльса, хотя они происходили из железного века племя Силуреса. Гливисинг назван, в честь Гливиса, легендарного монарха.
qstr_You_are_in_Kingdom_of_U|Вы в королевстве Ольстера.^^Улад принадлежит Гаэльскому народу Ирландии, который дал свое имя королевству расположенному в северной части острова, Родины Улад и племени Круитни. Уи Нейллы династии, до девятилетней войны потомки Нейллов, покинув Улад правили Ольстерой из Тирона.
qstr_You_are_in_Kingdom_of_L|Вы в королевстве Лагин.^^ Расположенные в восточной части Ирландии, племена Лагин были объединены Угайном Великим, первым историческим королем Лагина, который построил Форт Дун-Эйлин. Когда римские легионы покинули Британию, люди из Лагин поселились в Северном Уэльсе. Долгое время права на Лагин оспаривали две династии, Уи Дунлайнге и Уи Хеннселайг, но, наконец, первая из них получил корону. Девятнадцать лет назад, скандинавская армия была разбита в Sciath Nechtain, Лорканом сыном Келлаха, Королем Лагина и Олхобаром сыном Кинаэда, Королем Мунстеры. 
qstr_You_are_in_Kingdom_of_MU|Вы в королевстве Мумаин.^^ Расположен на юге Ирландии, королевства Мунстеры правит династия Эоганахтов. 19 лет назад, после нескольких поражений скандинавов, Олхобаром объединил свои силы с его восточным соседом, Лорканом сыном Келлаха, Королем Лагина, чтобы победить викингов в армии Sciath Nechtain. Более двухсот викингов были убиты, среди них Tomrair, ярл короля Laithlind.
qstr_You_are_in_Kingdom_of_CO|Вы в королевстве Коннахт.^^ Коннахт в ирландском королевстве, расположен в западной части острова. Конн ста битв, легендарный король Ирландии, был прародителем более поздних правителей  племени Коннахт и одноименного королевства Коннахт. Спустя несколько столетий, древние линии правителей Коннахт заменили правителей Мидленд, чей центр был в Тара. Два члена династии Taрa, Брион и  Фиакр, основали кланы, Уи Бриуйн и Уи Фиахрах, к которым все правители Коннахт принадлежали. Конхоба?р теперь Король Коннахта из рода Бриуйна. Норвежские налетчики на пути через Коннахт в Лимерике, попали в засаду и были разбиты жителями Коннахта.
qstr_You_are_in_Kingdom_of_Ui|Вы в королевстве Айлех.^^Айлех ирландское королевство на северо-западне Ирландии. Короли Айлеха принадлежали к Северным Уи Нейллы, его правители как говаривали, происходили от Ниалл девяти заложников и приняли свое название от городища Грианан Айлех. Это царство возникло как отделившееся от царства Улад, живущие под суверенитетом Cenel nEogain race.
qstr_You_are_in_Kingdom_of_MI|Вы в королевстве Мид.^^Мид означает "середина", из-за этого царства лежал в середине Ирландии. Он был создан Туатал Техтмар который, покорив правители других королевств, создал свое королевство из земли он присоединил четыре других, основанных вокруг холма тары. Ниалл девяти заложников зарекомендовал себя как Король Тара и почти без перерыва его потомки считались одними из самых высоких королей Ирландии за шесть веков. Его сыну Лоэгайру удалось, присоединить Святого Патрика к своему двору.Сыновья и внуки Ниалла продолжили завоевание Северного Лагина территорий выделить суб-королевства Мида и Брега для своих потомков.
qstr_You_are_in_Kingdom_of_AL|Вы в королевстве Альба.^^На севере от Британии Пикты и шотландцы, со своими отдельными языками, были традиционными врагами. Однако, подобие единства среди этих народов прибыли благодаря усилиям Кеннета I, короля Дал Риада, который претендовал на трон пиктов после того, как победил их в бою. Он создал албанское королевство со столицей в Фортевиот, на территории пиктов, и переехал в его религиозный центр Данкелд, где он перенес останки Святого Колумбы от Иона. Макалпин сталкивается с постоянно растущей враждебности норманнов из Laithlind и углов Нортумбрии.
qstr_Currently_the_most_r В|настоящее время, наиболее востребованными песни бардов выполнять, является одним из Короля Кадваллона Гвинеда и Король Пенда из Мерсии вторжения в Нортумбрию и проникая глубоко в сердце старого королевства Дейра. Там король Эдвин собрал своих воинов и поскакал на юг, чтобы встретиться с ними в бою. Две армии встречаются на Haedfeldland и взаимодействуют друг с другом в самой кровопролитной и самой жестокой битве века. Возможно, именно поэтому poular из-за недавнего вторжения.
qstr_My_Name_is_Beda_The_After|Меня зовут Бодо Старый,и я хочу рассказать вам об этом мире, так что слушайте внимательно...^^Британия. Бритты называют ее Ynys Prydein, Goidels позвонить ей Альба в то время как Англы и саксы дали имя Англия, те земли, которые они завоевали. Эти острова большие, богатые и красивые... и желанные. Так что земля в настоящее время находится в состоянии войны и уважает только закон меча и копья. Королевства появляются и исчезают, короли умирают на полях сражений. Женщины вдовеют, и лошади возят оружие вместо сена. Крики воинов наполняют воздух, и земля лежит бесплодная от вытаптывания армий. Как и в прошлые эпохи междоусобиц, смертельные враги вооружаются, одевают доспехи. Вороны кричат, волки воют, копья бьются и щиты звенят.^^На севере королевства англов крушатся под наступлением датчан. Сыновья пресловутых викингов лорд Рагнара, новые Короли этих земель, теперь правило Bernacia, Дейра и Элмет, земля, известная как Нортумбрия.^^На юге, Западные Саксы, возглавляемые Этельредом и его братом Альфредом, готовятся к войне. Они знают, что на другой стороне моря, всё больше датчан готовиться, чтобы пересечь океан в поисках славы и богатства.^^Оттесненные в отдаленные окраины родной земли веками вторгаясь на сушу, коренные британцы, теперь находятся под угрозой викингов на их побережьях. Они отчаянно бороться, чтобы не потерять то немногое, что у них осталось, мечтая о короле, который объединит их всех и приведет их к окончательной победе -- новый король Артур. Реальность такова, что их справедливые законы о наследовании держит запасы каждого Лорда малыми и единства труднее добиться. Тем не менее, их лидер, Родри Великий Гвинед, начал диктовать свою волю всему остальному Уэльсу.^^В землях Крайнего Севера, Норвежские захватчики тридцать лет назад уничтожили конкурирующих Гэльских и Пиктских лордов одним роковым ударом в трехстороннем сражении. После этой катастрофы, Гэльский лидер Кеннет МакАльпин начал создавать новое Королевство из двух народов, но они были вытеснены в центр Хайленда, своих бывших территорий.^^За морем, в Ирландии, Аэд 'Справедливый' из рода Нейллов. Айлех стал Верховным королем в Temair после преодоления своих врагов, но это не более чем титул.С его требованиями никогда не соглашалась другая половина рода Нейллов, борьба за землю, женщин и скот, в братоубийственных войнах, присущных для этой земли, продолжается. Между тем, как датчане и норвежские Викинги создали десятки прибрежных крепостей и используют реку для грабежей гойдельских глубинок, но они все слишком склонны присоединиться к конфликту -- со всех сторон.^^^Мир-это хаос, а хаос-это война.
qstr_Yes!_Those_are_just_|Да! Это  Я и хотел услышать. Атаковать его в море! (Сангвиник)
qstr_Your_goal?_Who_are_y|Твоя Цель? Кто ты? У тебя есть корабли,люди?
qstr_Yours?_Sven_is_a_mur|Свен убийца а  не идиот. Он будет ждать вас со своими головорезами. Если у вас достаточно людей то идите.
qstr_Beware!_You_may_be_i|Остерегайтесь! Хоть вы в моём доме но и гостеприимство неможет быть бесконечным. Теперь же вам нужно найти своих  людей и лодки чтобы плыть дальше.
qstr_Your_enthusiasm_glad|Ваш энтузиазм меня радует. Хотелось бы чтоб его разделяли мои люди но они слишком напуганы.Сколько кораблей и людей вы можете предоставить для дела?
qstr___He_looks_into_your|--Он смотрит в ваши глаза--
qstr_This_hunt_is_my_life|Убить его стало целью моей жизни.(Флегматик)
qstr_Sir_I_have_lost_ever|Сэр, я потерял все... у меня есть только месть и живу теперь... (меланхолик)
qstr_I_shall_not_leave_un|Я не уйду пока вы не дадите мне шанса (Холерик)
qstr_You_just_cannot_see_|Выещё не знаете но я вам нужен. Я не боюсь Свена (Сангвиник)
qstr_Alright!_Alright!_I_|Хорошо хорошо я вижу. Но у меня есть идея.Послушайте меня.
qstr_Oh_by_Thor!_This_isn|О Тор! Это не обязательно,этот {reg59?человек:человек}?Ладно я дам вам шанс
qstr_Yes_yes_you_are_very|Да да это серьёзно. Но у меня есть идея.
qstr_Someone_who_is_not_a|Кто не боится Свена дурак. Но возможно я должен дать вам шанс доказать показать свои силы.
qstr_You_have_offered_your|Вы предложили свои услуги {s11}и теперь вы можете присоеденится к облаве на Свена.{s11}  просит доказать свою верность.
qstr___He_makes_the_sign_|--Он делает знак Одина, чтобы отогнать невезение.--
qstr_{s11}_wants_the_prob|{s11}просить решить проблему собственности в монастыре. Поговорите с настоятелем монастыря неподалёку от  {s3}.
qstr_Note:_The_jarl_has_a|Примечание:Ярл обратился к вам с этой просьбой решить вопрос в свою пользу по возможности не растраивая монахов.
qstr_{s9}_sent_you_to_rec|{s9}велел вам собрать 15 войнов из окрестных деревень.Как только вы их наймёте следует явится к нему.
qstr_{s11}_wants_Thiaderd|{s11}желает смерти Thiaderd.Вам следует поговорить с ветераном в таверне в {s3} чтобы найти его.
qstr___His_eyes_show_joy_|--В его глазах сверкает радость.--
qstr_{s11}_told_me_that_S|Я должен поговорить с {s9} если я когда-нибудь путешествовать в Дании.
qstr_Your_king_has_not_wr|Похоже вы не можете мне помочь(Флегматик)
qstr_Every_time_I_finish_|Каждый раз когда я выполняю задание вы придумываете новое а свен досихпор жив.(Меланхолик)
qstr_Jarl?_You_promise_mu|Ярл? Вы много обешаете.Знает ли об этом ваш король? (Холерик)
qstr__Jarl?__I_like_that_|'Ярл?'Мне это нравится. Но если я зделаю всю грязную работу "король" звучало б лучше  (Сангвиник)
qstr_I_can_only_help_you_|Я помогу вам если вы поможете мне. Став королём я буду иметь больше людей для охоты на Свена.
qstr_The_difference_is_th|вы заслужили моё доверие. Я прошу тебя убей короля и ты получиш Свена.
qstr_The_king_will_not_be|Король скорее поверит мне чем тебе. И смерть твоя будет мучительной.
qstr_I_admire_your_ambiti|Я восхишаюсь твоими амбициями но здесь может быть только один король. И датский владыка примит только когото вроде меня а не безродного простолюдина.
qstr_{s11}_wants_me_to_ki|{s11}меня хочет убить своего короля, {s9}, его собственный дядя, чтобы взойти на престол {s3} и дайте мне людей и ресурсов, чтобы охотиться Свен.
qstr_{s11}_wants_me_to_kil|{s11} хочет меня убить своего короля, {s9}, его собственный дядя, чтобы иметь свободный доступ к престолу {s3} и дайте мне людей и ресурсов, чтобы охотиться Свен.
qstr_Note_3:_You_have_cho|Примечание 3: Вы решили стать врагом {s9} за свое предательство и союз с {s11}, Свен бычья шея покровителя. Вы знаете, что он будет посылать наемных убийц после того, как ваш начальник.
qstr_I_did_not_know_your_|Я не знал ваших планов.В Докинге просили моей помоши и я помог.(Флегматик)
qstr_Calm_down_and_tell_me|Успокойтесь и скажите, в чем проблема. Мы цивилизованные люди. (Меланхолик)
qstr_There_is_only_one_tr|Есть только один предатель, и это ты. Проклятая собака! Это будет тебе дорого стоить. (Холерик)
qstr_These_Vikings_were_f|Эти Викинги были малочислены. Вы урак если думали что сможете расчитывать на их помощь.(Сангвиник)
qstr_Note_3:_You_chose_no|Примечание 3: Вы не стали в открытую враждовать с {s9} за свое предательство и союз с {s11}.
qstr_Note_3:_You_chose_to_|Примечание 3: Вы решили стать врагом {s9} за свое предательство и союз с {s11}. Вы знаете, что он пошлет убийц по вашу голову.
qstr_Note_3:_You_chose_not|Примечание 3: Вы решили что не станете врагом {s9} за свое предательство и союз с {s11}.
qstr_Leave_Friese:_Your_r|Оставьте Друг. Ваши отношения с Ярлом кончились плохо.И он пошлёт наёмных убийц за вами если вы вскоре не уберётесь отсюда.
qstr_Leave_Friese._Your_r|Покиньте Фризию мой друг. Ваши отношения с ярлом враждебны.Лучше вам с ним не пересекатся ведь вы разрушили его планы касательн трона.
qstr_You_were_wrong._Thes|Ты неправ. Эти викинги должны были занять укрепление и ждать помоши из Дании. Теперь Змеиный глаз сочтёт меня предателем.Уходи немедлено.Если я ещё раз тебя встречу я убью тебя.
qstr_There_s_nothing_to_t|Нам не очём говорить.Ты неправ. Эти викинги должны были занять укрепление и ждать помоши из Дании. Теперь Змеиный глаз сочтёт меня предателем.Уходи немедлено.Если я ещё раз тебя встречу я убью тебя.
qstr_Leave_Friese._Your_re|Оставьте Фризию.Ваши отношения с Ярлом  неспособствуют вашему пребываюнию здесь.Лучше вам с ним не пересекатся некоторое время.
qstr_You_are_bold_rat_to_|Вы смелая крыса.И  я дам вам время убежать из Фризии. В противном случае я пошлю убийц и вам придётся спать с одним открытым глазом и с кинжалом в руке. Или же при личной встрече я просто убью тебя.
qstr_Leave_Friese._Your_rel|Покиньте Фризию. Вы растались с Ярлом не лучшим образом. Он пошлёт убийц или убьёт вас сам.
qstr_No_you_are_a_fool._T|нет ты определённо дурак! Эти викинги должны были занять укрепление и ждать помоши из Дании. Теперь Змеиный глаз сочтёт меня предателем.Уходи немедлено.Если я ещё раз тебя встречу я убью тебя голыми руками.
qstr_Investigate_events_i|раследовать события в{s3}.
qstr_Help_defend_{s3}.|Помоги отстоять{s3}.
qstr_The_king_does_not_be|Король не верит вам без доказательств измены. Но может быть Тонкрик из {s3} сможет вам помочь.
qstr_It_seems_you_will_not|Кажется король вам не поможет.Вам придётся говорить с{s11} 'змеиным глазом' лично.
qstr_{s10}_won_t_support_y|{s10}не подержим вас с {s9}.
qstr_I_did_not_want_to_ki|Я не хотел убивать Атли, но у меня не было альтернативы. (Флегматик)
qstr_I_am_aware_of_the_se|Я осознаю опасность. Нет нужды напоминать мне. (Меланхолик)
qstr_I_did_this_for_you._|Я сделал это для вас. Без меня письмо будет Сигурд, чтобы занять трон. (Холерик)
qstr_Come_on_sire_I_left_|Идите сир я не оставлял свидетелей.Собранию не в чем меня обвинить. 
qstr_I_see._Well_it_is_your|Я вижу. Ну, это твоя шея.
qstr_Well_if_Ulf_doesn_t_|ну если против вас нет свидетелей и некоторые ярлы вас подержат,то возможно есть шанс
qstr_Mark_my_words_{reg59|Запомни мои слова, {reg59?Женщина:Мужик}. Если Сигурд получит трон за твою жизнь никто и гроша не даст. Поэтому помогая мне ты поможеш себе.
qstr_Remember_that_I_am_t|Помните я царь.Обрашайтесь ко мне соответственно.
qstr_It_seems_that_everyt|Кажется всё готова для пробного использования {s10} мы пришлём за вами как только потребуется ваше присутсвие в асамблее.
qstr_{s9}_wants_you_back_|{s9}хочет вернуть вас в {s11}.
qstr_{s9}_wants_you_to_me|{s9}хочет встретится в {s11} Западно-Seaxe возле Snotingaham и дать ему письмо с призывом к перемирию.
qstr___You_perceive_that_|--Вы чуствуете новость его глубоко взбудоражила.--
qstr_I_guess_you_ve_weigh|Я думаю, вы уже взвесили все варианты, прежде чем принять решение. (Флегматик)
qstr_So_all_is_not_lost!_|Так что не все потеряно! (Меланхолик)
qstr_Retreat_is_dishonora|Это позор. Еслиб я управлял армией то одержал бы победу.(Холерик)
qstr_Come_come._Retreat?_|Приди, Приди. Отступить? Ты трус? (Сангвиник)
qstr_We_must_be_realistic|Мы должны быть реалистами. В противном случае, мы можем потерять все, что мы получили.
qstr_You_need_not_be_so_d|Не нада драматизировать.Ничего ещё не потеряно! Чёрт возьми я только стараюсь пользоватся логичным выбором стратегии.
qstr_Well_I_happen_to_lik|Ну так получилось что я люблю людей живых. Пэтому слушайте внимательно,думаю это вас заинтересует.
qstr_No_I_d_rather_be_a_c|Я предпочту быть умным а не мёртвым.Следите за своими словами!Помните, что вы говорите, чтобы один из сыновей Рагнара. Если все Нортумбрия не может ответить за оскорбление нашей семье, какой шанс у вас?
qstr_{s9}_wants_you_hunt_|{s9}ждёт от вас уничтожения группы возле{s3}.
qstr_{s9}_wants_you_deliv|{s9}доставить сообшение чтоб его братья в{s3},посоветывали им что никаких подкреплений из Дании небудет и им стоит просить перемирия с Саксами.
qstr___You_perceive_your_|--Ваша новость его взбудоражила.Он фыркает как бык прежде чем ответить.--
qstr___He_looks_into_your_|--Он смотрит в твои глаза с глубокой озабоченностью, затем вызывает слугу, чтобы прочитать письмо вслух до конца. Затем Ратбарт смотрит на тебя и улыбается.--
qstr___He_bites_his_lower|--Он прикусывает нижнюю губу несколько секунд, думая.--
qstr_Note_1:_You_gave_the|Примечание 1: Вы дали письмо Рагнар сыновей. {s9} Поблагодарил вас, и теперь вы помогаете ему.
qstr___He_rests_a_hand_on|--Он опирается рукой на плечо.--
qstr___He_laughs_loudly._|--Он смеется громко.--
qstr_{s9}_wants_you_find_|{s9}хочет тебя найти и поговорить с {s3} из {s4}, чтобы дать ему клятву верности.
qstr_As_he_rejoins_his_br|Как он возвращается к своим братьям, чтобы решить, что делать с письмом из Бодо, {s11} попросила вас идти в Альбан, покорить {s3} и держать его более 30 дней, чтобы ослабить пиктов и создать надежный тыл в Дании И Нортумбрии.
qstr___He_takes_a_deep_bre|--Он делает глубокий вдох.--
qstr___He_smiles_pleased.|--Он улыбается, довольный.--
qstr___He_takes_the_letter_|--Он берет письмо из рук, и вы видите, как его пальцы испачканы чернилами. Алфред читает письмо медленно, поглощая с интересом все, что его содержит. Прочитав ее, ничего не говоря, Алфред зовёт Бодо и ведёт его в сторону на несколько метров, где они говорят долго._--
qstr_Note_1:_You_gave_the_|Примечание 1: Ты доставил письмо к Саксам. {s9} Поблагодарил вас, и теперь вы помогаете ему.
qstr___For_a_moment_he_sh|--На мгновение, он показывает, сюрприз.--
qstr___He_studies_you_slo|--Он изучает вас медленно, как осматривают лошадь.--
qstr_{s9}_wants_you_to_fi|{s9} хочет тебя найти и поговорить с {s3} из {s4}, чтобы дать ему клятву верности.
qstr_As_he_reunites_with_|Как он воссоединяется со своим братом, чтобы решить, что делать с письмом из Бодо, {s11} попросила вас пойти на земли Уэльса, покорить {s3} и держать более 30-ти дней , чтобы ослабить Валлийский и продемонстрировать им, что Саксы готовы принять их земли силой, если они не в состоянии сохранить мир между собой.
qstr___He_snaps_his_finge|--Он щелкает пальцами.--
qstr_You_must_enter_the_s|Вы должны поступить на службу к {s11}, снаряжающийся в битву впереди.
qstr___He_looks_at_you_co|--Он смотрит на вас снисходительно.--
qstr___He_scratches_his_c|--Он царапает подбородок задумчиво. Он очень худой молодой человек только двадцать лет, но уже вызывает уважение.--
qstr_{s13}_asked_you_to_ga|{s13} попросил вас собраться {reg3} руководитель крупного рогатого скота и доставить их обратно к нему.
qstr___He_puts_his_hand_on_|--Он кладет руку на плечо и смотрит в глаза.--
qstr_You_ve_joined_your_a|Вы присоединились к вашей армии к {s11} и ожидать прибытия великого датского армии. Кажется, что судьба Саксов будет решена в ближайшее время.
qstr___He_pats_your_back.|--Он гладит спину.--
qstr_You_must_enter_the_se|Вы должны поступить на службу к {s11} и подготовиться к битве впереди.
qstr___He_makes_a_gesture|--Он_морщится_от_отвращения.--
qstr_My_Name_is_Olafr_and|Меня_зовут_Олаф,_и_я_хотел_бы_встретиться_с_вашей_сестрой.
qstr_Sven_Bull_Neck_will_|Свен_Бычья_Шея_убьет_тебя!
qstr_You_re_an_asshole.|Ты_придурок.
qstr___He_looks_with_tire|--Он_смотрит_усталыми_глазами.--
qstr_Sven_Bull_Neck_order|Свен_Бычья_Шея_приказал_мне_с_неcколькими_людьми_высадиться_в_Доккинге_и_захватить_форт._Если_бы_все_прошло_хорошо,_наш_лорд_Сигурд_'Змеиный_глаз'_послал_бы_еще_100_человек_из_Дании,_чтобы_помочь_{s11}_взойти_на_престол._Я_знаю_немного,_но,_по-моему,_ярл_Кеннмер_обещал_отправить_пять_сотен_людей_в_Англию_этим_летом_в_том_случае,_если_он_станет_королем._Так_или_иначе,_это_все_уже_не_имеет_значения._Мы_провалили_задание,_и_Сигурд_'Змеиный_глаз'_больше_не_будет_жертвовать_своими_людьми._Ему_нужно_будет_помочь_своим_братьям_в_Англии._Вы_можете_быть_спокойны. 
qstr_All_plans_of_{s9}_to|Все_планы_{s9}_на_то,_что_он_станет_королем,_рухнули,_благодаря_вашему_вмешательству._Его_союзник,_датский_лорд_{s11}_'Змеиный_глаз'_больше_не_будет_отправлять_свои_войска,_потому_как_он_набирает_подкрепления_в_Англии._Парадокс_в_том,_что_вы_бежите_с_земли,_которую_только_что_помогли_спасти.
qstr_I_know_nothing!|Я_ничего_не_знаю!
qstr___He_forces_a_smile.|--Он_натужно_улыбается.--
qstr_Sven_Bull_Neck_has_t|У_Свена_Бычьей_Шеи_есть_дела_поважнее._Сигурд_'Змеиный_глаз'_несколько_дней_назад_призвал_его_в_Данию._Если_вы_хотите_знать,_где_он,_спросите_об_этом_самого_Сигурда._Но_я_посоветовал_бы_вам_спрашивать_у_него_более_любезно,_чем_у_меня.
qstr_Sven_Bull_Neck_was_c|Свен_Бычья_Шея_был_призван_Сигурдом_'Змеиный_глаз'_в_Данию._Похоже,_у,_ярла_для_него_новое_задание._Неплохо_было_бы_отправиться_в_Данию,_и_спросить_об_этом_самого_{s11}_'Змеиный_глаз'._{s6}_может_быть_хорошей_отправной_точкой.
qstr_I_say_nothing_bastar|Я_ничего_тебе_не_скажу,_ублюдок!
qstr___He_twists_his_mout|--Он_поджимает_губы_и_смотрит_на_вас_с_презрением.--
qstr_Sigurd__Snake_in_the|Сигурд_'Змеиный_глаз'_-_ярл_Свена_Бычьей_Шеи,_а_Свен_-_мой_хэрсир._И_тот,_и_другой_-_могущественные_люди_и_великие_воины,_так_что_держись_от_них_подальше,_а_не_то_они_отправят_тебя_прямиком_в_ад.
qstr_Sven_Bull_Neck_hersi|Свен_Бычья_Шея,_хэрсир,_и_Сигурд_'Змеиный_глаз',_ярл,_-_известные_в_Дании_воины._Вы_должны_быть_очень_осторожны,_если намереваетесь_сражаться_с_ними.
qstr_Scum!|Подонок!
qstr___He_tilts_his_head_|--Он_наклоняет_голову,обдумывая_ответ.--
qstr_You_wish_to_know_abo|Вы_хотите_узнать_о_великом_Рагнаре_Лодброке_из_рода_Инглингов,_посланнике_Одина,_да?_Что_ж,_он_был_ярлом,_боявшимся_всего_христианского._Он_много_раз_нападал_на_Англию_и_королевство_франков,_и_известен_своими_гигантскими_экспедициями._Он_знал,_как_объединять_и_вести_за_собой_людей.
qstr___He_looks_directly_|--Он_смотрит_на_вас_яркими_голубыми_глазами.--
qstr_Ragnar_was_more_than|Рагнар_был_больше,_чем_человеком,_как_и_его_сыновья._Его_жены,_особенно_Лангерта_и_Аслауг,_родили_ему_много_наследников._Бьорна_Железнобокого,_Хальвдана,_Сигурда_'Змеиный_глаз',_Уббе_и_других..._У_него_было_больше_десяти_сыновей,_и_еще_больше_дочерей.^Если_вы_действительно_умны,_вы_не_будете_с_ними_ссориться._И_даже_попросите_прощения_у_Сигурда_за_убийство_его_людей_в_Доккинге.
qstr___He_spits_to_the_si|--Он_сплевывает_в_сторону,_прежде,_чем_продолжить.--
qstr_Unfortunately_King_A|К_несчастью,_Элла,_король_Нортумбрии,_что_в_Англии,_взял_Рагнара_в_плен_и_бросил_его_в_яму_с_ядовитыми_змеями._Тогда_сыновья_Рагнара_пошли_на_Нортумбрию,_и_убили_их_королей._Сейчас_Нортумбрия_принадлежит_Дании,_и_скоро_остальные_земли_Англии_постигнут_ее_участь._Сигурд_'Змеиный_глаз'_и_другие_сыновья_Рагнара_призывают_к_оружию_большое_количество_людей_в_Дании._Они_присоединятся_к_Ивару_и_Хальвдану_-_сынам_Рагнара_-_и_станут_наступать_на_оставшуюся_часть_Англии,_все_об_этом_знают.
qstr_Note_1:_Ragnar_Lodbr|Примечание_1:_Рагнар_Лодброк,_викинг,_в_настоящее_время_мертв,_имел_несколько_жен,_но_старшими_были_Лангерта_и_Аслауг,_а_также_множество_детей,_некоторые_имена_которых:_Ивар_Бескостный,_Бьорн_Железнобокий,_Хальвдан,_Сигурд_'Змеиный_глаз',_Уббе._Сыновья_Рагнара_напали_на_Англию_в_качестве_мести_за_казнь_своего_отца_королем,_теперь_мертвым,_Эллой_Нортумберским.
qstr___He_thinks_for_a_fe|--Он_задумывается_на_несколько_секунд.--
qstr_Yes_we_attacked_some|Да,_мы_напали_на_несколько_кораблей_недавно,_перед_тем,_как_Свен_Бычья_Шея_ушел_от_нас_в_Нортумбрию._Я_запомнил_Воден_Рика,_потому_что_мне_понравилось_его_имя._Воден_был_важным_богом_в_Англии,_до_прихода_туда_христианства._Я_помню,_как_однажды_встретил_семью,_которая_все_еще_верила_в_Водена,_в_деревне,_которую_мы_грабили._Они_были_единственными,_кого_мы_пощадили._Мы_зовем_Водена_Одином.
qstr_They_were_idiots._Th|Они_были_идиотами._Они_остановились_в_обломках_других_судов,_которые_мы_атаковали_до_этого,_и_нам_потребовалось_всего_несколько_часов,_чтобы_поймать_их._Ветер_был_попутный,_и_мы_взяли_их_на_абордаж._У_них_было_мало_воинов,_так_что_это_было_легко.
qstr___He_swallows.__|--Он_сглатывает.--
qstr_Very_few_unfortunate|Очень_мало,_к_сожалению._Обычно_мы_стараемся_поймать_их,_чтобы_потом_продать,_как_рабов.
qstr___He_raises_his_hand|--Он_поднимает_руку_прежде,_чем_вы_успеваете_ответить.--
qstr_The_port_master_of_{s|Начальник_порта_{s3}_может_знать,_где_находится_убежище_Свена_Бычьей_Шеи._Поговорите_с_ним_и_убедите_поделиться_с_вами_информацией._Его_часто_можно_найти_снаружи,_в_доках.
qstr___One_of_the_captain|--Один_из_капитанов_громко_смеется.--
qstr__Hey_hey_enough_laug|-Эй,_достаточно_надо_мной_смеяться!_Дайте_Гаральду_продолжить_говорить_о_важных_вещах.
qstr_You_ragr_insult_my_c|Слышь,_мудак,_еще_раз_оскорбишь_моих_детей,_и_я_вскрою_тебя_от_пупка_до_самой_шеи.
qstr___He_looks_at_you_with_i|--Он_смотрит_на_тебя_с_плохо_скрываемыми_негодованием_и_отвращением.--
qstr___He_spits_overboard|--Он_сплевывает_за_борт,_и_его_взгляд_останавливается_на_одном_из_капитанов_Свена,_который_случайно_оказался_на_вашей_стороне.--
qstr___He_clears_his_thro|--Он_прочищает_глотку_и_пристально_смотрит_на_вас.--
qstr_Note:_Your_mother_is|Примечание:_Ваша_мать_теперь_жена_и_сейдкона_Свена_Бычьей_Шеи._Кажется,_ее_болезнь_прогрессировала,_и_она_не_помнит_ничего_из_того,_что_было_в_прошлом.
qstr___Harald_remains_cal|--Гаральд,_как_человек,_привыкший_к_сражениям,_сохраняет_спокойствие_и_начинает_раздавать_приказы.--
qstr_Sven_Bull_Neck_attac|Свен_Бычья_Шея_атаковал_часть_флота_под_руководством_Гаральда_Гаральдсона,_убивая_{s9}_и_большинство_его_матросов.Последним_приказом_{s9}_был_сообщить_{s11}_о_предательстве_Свена_Бычьей_Шеи._Найдите_и_поговорите_с_{s11},_пока_это_не_сделал_Свен_Бычья_Шея_или_кто-либо_из_его_людей_-_если_вы_успеете_отчитаться_до_них,_ваш_рассказ_будет_звучать_правдоподобней.
