dialogsfile version 2
5526
dlga_port_chief_travel:close_window|К сожалению, в настоящее время в порту нет пассажирских кораблей.
dlga_lairparty_action:lair_captain_pretalk|Спасибо, {reg59?Миледи:Сир}. Это приведет к повышению морального духа и лояльности мужчин.
dlga_start:lair_cook|Приветствую. Что я могу сделать для вас？
dlga_lair_cook_pretalk:lair_cook|Что-нибудь еще？
dlga_lair_cook:lair_cook_menu1|Повар, у меня есть работа для вас! Мои люди заслужили праздник.
dlga_lair_cook:close_window|Это всё.
dlga_lair_cook_menu1:lair_cook_menu2|Я думаю стоимость праздника будет 1000 шиллингов.
dlga_lair_cook_menu2:lair_cook_menu|Продолжайте. Возьмите деньги и подготовьте всё.
dlga_lair_cook_menu2:lair_cook_pretalk|Хм, позвольте мне думать над этим.
dlga_lair_cook_menu:close_window|Пусть так это и будет! Я получу необходимую сумму из вашей казны, куплю ингредиенты для моих лучших блюд, а также найму персонал, чтобы сделать эту ночь незабываемой!
dlga_lair_cook_menu:lair_cook_pretalk|Извините, Сир, но ваша казна пуста. Нам понадобится больше денег для банкета.
dlga_start:quastuosa_talk1|{s2}^^Привет, {reg59?моя Госпожа:мой Господин}, как я могу служить вам？
dlga_quastuosa_pretalk1:quastuosa_talk1|Я к вашим услугам, {playername}.
dlga_quastuosa_talk1:quastuosa_serve1|Мне нужно, поднять дух моих мужчин.
dlga_quastuosa_talk1:quastuosa_serve2a|Я ничего не хочу для своих людей, мне бы хотелось побыть в вашей компании.
dlga_quastuosa_talk1:close_window|Мне ничего не надо. Прощайте.
dlga_quastuosa_serve1:quastuosa_serve3a|Ну, ваши мужчины будут иметь в своем распоряжении медовый зал . Они могут есть и пить всё, что захотят, я приведу некоторых девушек, чтобы поддержать их компанию. Уверяю вас, они будут счастливы после этого.Это будет стоить вам 1500 монет.
dlga_quastuosa_serve1:quastuosa_serve3b|Вашем мужчинам будет весело, как никогда. Я доставлю красивых девушек, лучшие напитки и лучшие продукты. Уверяю вас, их моральный дух будет высок до небес после этих гуляний.Это обойдется вам в 1700 монет.
dlga_quastuosa_serve3a:quastuosa_pretalk1|Ну, я думаю, мои люди заслужили это. И на этот раз.
dlga_quastuosa_serve3b:quastuosa_pretalk|Ну, я думаю, мои люди заслужили это. И на этот раз.
dlga_quastuosa_serve3a:close_window|Увы, моя леди, ваши прелести находятся вне досягаемости моего кошелька. Добрый день и Прощайте!
dlga_quastuosa_serve2a:quastuosa_serve4a|Прекрасно. Вы любите меня, {reg59?моя Госпожа:мой Господин}, не так ли? Ну, для вас, есть специальная цена всего 100 монет?. В знак нашей «дружбы» ...
dlga_quastuosa_serve4a:quastuosa_serve5a|Отлично, вот, возьми эти монеты в качестве «подарка».
dlga_quastuosa_serve4a:close_window|Нет, спасибо. Вы пытаетесь обокрасть меня.
dlga_quastuosa_serve5a:quastuosa_pretalk1|(Проходит время, суровость и усталость от путешествия, которые задержались в вашем теле и душе, забываются. В течение нескольких часов, ваши доспехи и меч, страх умереть в любой стычке, наказание дождем и ветром, и пыль дорог все засунули под маленький клочок счастья. Но, в конце концов, оно заканчивается слишком быстро, когда ваша "подружка" тихо выходит из комнаты.)
dlga_start:barber_talk|Желаю здравствовать, мой {reg59?моя Госпожа:мой Господин}. Что вам угодно?
dlga_barber_pretalk:barber_talk|Я к вашим услугам.
dlga_barber_talk:barber_talk|Мне нужно, чтобы ты подрезал себе бороду.
dlga_barber_talk:barber_curel_1|Мне нужно, чтобы ты залатал мои легкие ранения.
dlga_barber_curel_1:barber_curel_2|У вас есть легкие ранения. Я вылечу их, но я беру {REG1} шиллингов за мою работу.
dlga_barber_curel_2:barber_curel_3|Вот ваши {REG1} шиллингов. Теперь вылечите мои раны.
dlga_barber_curel_2:barber_pretalk|У меня не достаточно денег.
dlga_barber_curel_3:barber_pretalk|Я сделаю, как вы просите, {reg59?Миледи:Сир}. Выборочное масло и вино!
dlga_barber_talk:barber_cureh_1|Мне нужно, чтобы вы, правили, мои тяжелые раны.
dlga_barber_talk:close_window|Я не нуждаюсь в ваших услугах. Прощайте.
dlga_barber_cureh_1:barber_cureh_2|У вас серьезные травмы. Я вылечу их, но я беру {REG1} шиллингов за мою работу.
dlga_barber_cureh_2:barber_cureh_3|Вот ваши {REG1} шиллингов. Теперь вылечите мои раны.
dlga_barber_cureh_2:barber_pretalk|У меня не достаточно денег.
dlga_barber_cureh_3:barber_pretalk|Я буду стараться изо всех сил, {reg59?Миледи:Сир}.Выборочный горячий утюг и плоскогубцы!
dlga_start:skald_talk|Желаю здравствовать, {reg59?моя Госпожа:мой Господин}. Я ваш поэт. Я могу читать вам стихотворения, или я могу сочинять для вас песни и стихи о чести и доблести.
dlga_start:skald_talk.1|Желаю здравствовать, {reg59?моя Госпожа:мой Господин}. Я ваш бард. Я могу читать вам стихотворения,петь и я могу сочинять, песни и стихи о чести и доблести.
dlga_skald_pretalk:skald_talk|Мое искусство и мастерство не разочарует вас, милорд. Что еще нужно？
dlga_skald_talk:skald_sing|Я хочу, чтобы ты пел обо мне. Мне это нужно, чтобы быть известным и знаменитым.
dlga_skald_sing:skald_sing2|{s2}^^я буду писать эпическую поэму так, что все острова будут знать о вашем величии {playername} . Однако, я должен попросить для этого небольшую сумму, чтобы покрыть расходы на чернила и... другие вещи. Мне нужно будет 500 монет.
dlga_skald_sing2:skald_pretalk|Возьмите деньги, это не что для могучего героя, как я.
dlga_skald_sing2:close_window|Вы просите ту же цену, как счастливая вдова, и, несомненно, я был бы счастливее с ее обслуживанием! Нет, Спасибо.
dlga_skald_talk:skald_cancion|Вы можете петь для меня и моих людей？
dlga_skald_talk:close_window|Бард？ Песни？ Почему бы тебе не пойти и заработать свой хлеб, как и все мы？ Прощай.
dlga_skald_cancion:skald_cancion2|Это будет стоить вам 100 монет. Я могу петь...
dlga_skald_cancion2:close_window|Кантига 2 (одноголосная песня)
dlga_skald_cancion2:skald_pretalk|Неважно. Я хочу спросить тебя еще кое о чем.
dlga_ulf_testigo1:ulf_testigo2|Ульф, я хочу, чтобы убедить вас не свидетельствовать против меня в Собрании.
dlga_ulf_testigo1:close_window|Я просто проходил мимо. Просто хотел сказать привет. Прощайте.
dlga_ulf_testigo2:ulf_testigo3|Я предпочитаю говорить о моей дочери. Она беременна вашим ребенком. Незаконнорожденный ребенок человека без будущего. Вы опозорили свой дом и мою дочь. Я представлю свое дело на рассмотрение Собрания.
dlga_ulf_testigo2:ulf_testigo3.1|Я предпочитаю говорить о моей дочери. Она беременна ребенком вашего спутника, Эгиль. Незаконнорожденный ребенок человека без будущего. Он обесчестил мой дом и мою дочь. Я представлю свое дело на рассмотрение Собрания.
dlga_ulf_testigo2:ulf_testigo3.2|Я предпочитаю говорить о моей дочери. Она беременна ребенком одного из ваших мужчин. Незаконнорожденный ребенок неизвестного мужчины, который изнасиловал ее в ночь, выпив слишком много медовухи. Он обесчестил мой дом и мою дочь. Я представлю свое дело на рассмотрение Собрания.
dlga_ulf_testigo3:ulf_testigo41|К сожалению, я не имел ни малейшего представления. Я женюсь на ней.
dlga_ulf_testigo3:ulf_testigo42|К сожалению, я не имел ни малейшего представления. Эгиль женится на ней.
dlga_ulf_testigo3:ulf_testigo43|Это ужасно!Человек, который Вы выбираете из моего отряда жениться на ней.
dlga_ulf_testigo3:ulf_testigo44|Я понимаю. Я возьму Вашу дочь с собой. И я возьму на себя ответственность за нее и ребенка.
dlga_ulf_testigo3:ulf_testigo6|Это был неприятный инцидент. Давайте договоримся на вергельд (выплата) в качестве компенсации.
dlga_ulf_testigo3:ulf_testigo46|Вы уверены, что ребенок не от одного из ваших рабов?
dlga_ulf_testigo41:ulf_testigo5|Жениться вам? На моей дочери? Нет, вы низший класс, чем она, и, кроме того, вы скоро будете мертвы. Всем известно, что Сигурд Рагнарсон будет просить вашу голову на Собрании.
dlga_ulf_testigo43:ulf_testigo5|С любым из ваших людей? Может быть, вы думаете, что она шлюха? Скажи что-нибудь дельное или убраться отсюда.
dlga_ulf_testigo44:ulf_testigo5|Это шутка, нет？ Тора не может пойти с вами. Она моя единственная дочь. Она слишком важна, чтобы оставаться в ваших руках.
dlga_ulf_testigo46:ulf_testigo46_1|{s2}
dlga_ulf_testigo46_1:ulf_testigo46_2|Отец, успокойся. Я уверен, что {playername} сказал, не подумав. {reg59？Она:он} знает, что я порядочная женщина и не дана никому.
dlga_ulf_testigo46_2:ulf_testigo46_3|{playername}, вы должны извиниться перед этим человеком. Помните, что вам нужно, чтобы он был доволен, дабы избежать его свидетельство против вас на Собрании.
dlga_ulf_testigo46_3:ulf_testigo46_5|{s10}
dlga_ulf_testigo46_3:ulf_testigo46_4|{s10}
dlga_ulf_testigo46_4:ulf_testigo5|{s2}^^Я буду действовать так, как будто я не слышал этого.
dlga_ulf_testigo46_5:ulf_testigo46_6|{s2}^^Разговор окончен. Я буду счастлив, когда Сигурд Рагнарсон убьёт вас после Собрания. Теперь, убирайся с моей фермы.
dlga_ulf_testigo46_6:ulf_testigo46_7|Ульф, если ты будешь свидетельствовать против меня на Собрании, я убью тебя, Тору, и сожгу ферму. Понял？ (Сангвиник).
dlga_ulf_testigo46_7:ulf_testigo8|Успокойте человека! Нет необходимости унижать этого человека так много.
dlga_ulf_testigo42:ulf_testigo42_1|Эй! Я здесь. Жениться？ Я никогда не выйду замуж. Тора должна гордиться тем, что есть ребёнок с королевской кровью в ее животе.
dlga_ulf_testigo42_1:ulf_testigo42_2|Эгиль - неисправимый бабник, непостоянный, пьяный, без будущего. Вы бы дали ему жениться на вашей дочери ？
dlga_ulf_testigo42_2:ulf_testigo42_3|Да.
dlga_ulf_testigo42_2:ulf_testigo42_31|Нет.
dlga_ulf_testigo42_2:ulf_testigo42_31.1|Кто？ Брунхильда здесь？ - Она не моя дочь.
dlga_ulf_testigo42_3:ulf_testigo5|Ну, вы совершенно болван. Тора является дочерью богатого человека, в то время как Эгиль является лишь ублюдком. Вы меня оскорбляете.
dlga_ulf_testigo42_31:ulf_testigo42_32|Ну, я даже не знаю, стоит ли быть польщенным или обижаться. Я буду действовать так, как будто я не слышал ваши слова.
dlga_ulf_testigo42_32:ulf_testigo5|Никто не хочет видеть Эгиля в семье. Кроме того, Тора-дочь богатого человека, а Эгиль является лишь ублюдком.
dlga_ulf_testigo5:ulf_testigo44|Я понимаю. Я возьму Вашу дочь с собой. И я возьму на себя ответственность за нее и ребенка.
dlga_ulf_testigo5:ulf_testigo6|Это был неприятный инцидент. Давайте договоримся на вергельд (выплата) в качестве компенсации.
dlga_ulf_testigo5:ulf_testigo46|Вы уверены, что ребенок не от одного из ваших рабов?
dlga_ulf_testigo6:ulf_testigo7_1|Закон в Дании делает различие между, если она была изнасилована или добровольно отдалась. Важно также отметить различия в статусе. В любом случае, если вы хотите, избежать дальнейших проблем и оставить этого человека удовлетворённым, дайте ему 4000 шиллингов, и он будет доставлять всех своих дочерей, чтобы спать с вами. ^^ {S2}
dlga_ulf_testigo7_1:ulf_testigo7|Не слушайте глупого Эгиля {reg59 Леди: Сир}, но это правда с 4000 шиллингов, Ульф будет более чем счастлив и не будет свидетельствовать против вас.
dlga_ulf_testigo7:ulf_testigo8|Ох, деньги! Моя любимая тема. Это там, откуда я приехал.
dlga_ulf_testigo8:ulf_testigo9|{s2} ^^ Посмотрите на этого человека! Он должен быть более двух метров, если он В дюймах!
dlga_ulf_testigo9:ulf_testigo10|Он ...
dlga_ulf_testigo10:ulf_testigo11|Он Орм чёрный, гостевой Ульф Торинсона  и будущего владельца в своей ферме и дочь. Я не имею привычки подслушивать, но так как все, что связано с этой усадьбе сейчас мой бизнес, я решил представиться и действовать.
dlga_ulf_testigo11:ulf_testigo12|Извольте, Орм. Как получилось, что вы будущий владелец этой фермы？
dlga_ulf_testigo11:ulf_testigo13|Меня не волнует, кто вы есть. Это личное дело каждого. Уходи.
dlga_ulf_testigo13:ulf_testigo12|Ох, я так не думаю. Эта ферма и девушка беременная из-за вас, будет завтра моей собственностью. Таким образом, вы будет вести переговоры со мной, а не с этой старой дурой.
dlga_ulf_testigo12:ulf_testigo14_1|{playername} , мой отец имеет свою гордость, но мы нуждаемся в вашей поддержке. Орм Сварти-это Берсерк и дуэлянт. Он злой человек, но никто не может противостоять ему. Он прибыл вскоре после того, как вы оставили нас, и попросил мою руку, мой отец отказал ему. Тогда он бросил вызов отцу на дуэль до смерти.Орм убьет моего отца, а затем останется со мной на ферме. Мой отец стар и не может справиться с этим человеком. Пожалуйста, будьте нашим защитником.
dlga_ulf_testigo14_1:ulf_testigo14|{s2} ^^ Этот человек сволочь, {reg59 Мадам? Сир}. Он бросает вызов старым беззащитным крестьянам, чтобы украсть все, что у них есть. Хуже всего то, что он хочет сделать дочь Ульфа, Тору рабыней... и кто знает, что будет с ребенком, Торы в животе.
dlga_ulf_testigo14:ulf_testigo15|Игнорируйте их. Вам повезло, что я здесь. Ульф не будет свидетельствовать против вас в Собрании по причине его смерти, и девушка не будет вашей проблемой, потому что я буду заботиться о ней и крысёныше в утробе.И так как я люблю вас, я сделаю это вам в половину цены.Все, что вам нужно сделать, это дать мне 2000 шиллингов. Что вы скажете？
dlga_ulf_testigo15:ulf_testigo16_1|Это дело, Орм. Возьмите эти деньги, и спасибо за заботу о этом вопросе. Я рад, Ульф не будет в живых в Собрании.
dlga_ulf_testigo15:ulf_testigo16_2|Ульф будет мертв завтра, так что моя проблема решена. Зачем платить вам? Не получите ни одной pening. Удачи с фермой и Торой.
dlga_ulf_testigo15:ulf_testigo16_3|Я заплачу мой вергельд (выплата) 4000 шиллингов Ульфу сейчас, и дело закрыто. Удачи с девушкой и фермой.
dlga_ulf_testigo15:ulf_testigo16_4|Нет, боюсь, что нет. Я ненавижу несправедливость. Я буду бороться от имени Ульфа и погашу свой долг с ним и Торы.
dlga_ulf_testigo15:ulf_testigo16_4.1|Нет. Эти два вопроса отдельно. Я буду платить своЙ вергельд (выплата) 4000 шиллингов  Ульфу, и я по-прежнему будет сражаться от имени Ульфа.
dlga_ulf_testigo16_1:ulf_testigo16|Ну, хорошо.Ферма, красивая девушка и 2000 шиллингов в придачу. Боги всегда любили меня. Хорошего путешествия и удачи, чтобы, когда-нибудь, в том маловероятном случае, что вы когда-либо сделаете что-нибудь для себя, мы можем встретиться снова.
dlga_ulf_testigo16_2:ulf_testigo16|Ах, ну, да, вы правы. Тогда отстаньте от моей фермы. Хорошего путешествия и удачи, так что, когда-нибудь, в маловероятном случае, что вы когда-либо сделаете что-нибудь для себя, мы можем встретиться снова.
dlga_ulf_testigo16_3:ulf_testigo16|Ну, его деньги-это мои деньги. Если вы такой идиот, тем лучше для меня. Ферма, красивая девушка и 4000 шиллингов в придачу. Боги всегда любили меня. Хорошего путешествия и удачи, чтобы, когда-нибудь, в том маловероятном случае, что вы когда-либо сделаете что-нибудь для себя, мы можем встретиться снова.
dlga_ulf_testigo16_4:ulf_testigo20|{reg59?Миледи:Сир}, вы уверены？ Рассматривали ли вы относительно вашу высота и ваши старые раны？ Этот человек сделан для убийства!
dlga_ulf_testigo20:ulf_testigo21|Нет, хуже, он берсерк. Если он войти в транс, {playername} , у вас не будет шанса.
dlga_ulf_testigo21:ulf_testigo22|Я в этом уверен.
dlga_ulf_testigo21:ulf_testigo14|Позвольте мне пересмотреть.
dlga_ulf_testigo22:ulf_testigo23|Боги благословляют вас, {Playername}. Мы всегда будем в долгу перед вами.
dlga_ulf_testigo23:ulf_testigo24|Я не ожидал такой самоотверженной реакции. Я знаю, что у меня нет шансов против Орм Сварти , так что я очень благодарен. Что бы ни случилось, знайте, что я не буду свидетельствовать против вас на Собрании. Рагнарсону не понравится, то многое, что вы, сделаете для меня. И я не буду спрашивать вергельд (выплата) для моей дочери. Что вы сделаете, составляет какого-либо долга между нами. Спасибо. Мы теперь в мире.
dlga_ulf_testigo24:close_window|Если вы такой идиот, тем лучше для меня. Такие герои всегда в конечном итоге, занимающих по шесть квадратных футов земли. Но если вам так хочется такой сюжет, ваше время пришло.  Я только рад, что добавлю все ваши вещи к ферме и девушке.
dlga_ulf_testigo16:ulf_testigo17_1|Боги проклинающих вас, {Playername}. Вы эффективно приговорили моего отца к смерти, и меня к рабству.
dlga_ulf_testigo17_1:ulf_testigo17|Нежная, Тора, дочь моя . Этот кусок жилища не стоит проклятия.
dlga_ulf_testigo17:ulf_testigo18|Это не правильно...
dlga_ulf_testigo18:close_window|Если вы не хотите, чтобы умереть. {playername}  делаете правильно. Пойдёмте, мы закончили здесь.
dlga_start:muletroop_1|Приветствую тебя, {playername} . Что вам нужно?
dlga_muletroop_1:muletroop_2|Я хочу, погрузить некоторые вещи на лошадей.
dlga_muletroop_1:close_window|Ничего. Прощайте.
dlga_muletroop_2:close_window|Всегда к Вашим услугам.
dlga_start:sacerdote1_action|Да？
dlga_sacerdote1_action:sacerdote2_action|Святой отец, я переведу 200 шиллингов в семьи моих погибших людей для помощи.
dlga_sacerdote1_action:close_window|Ничего. Прощайте.
dlga_sacerdote2_action:close_window|Я прощаю вас от ваших грехов во имя Отца Сына и Святого духа . Аминь .( на Латинском ) Теперь ваши мужчины будут чувствовать себя лучше.
dlga_start:pagano1_action|Yes？
dlga_pagano1_action:pagano2_action|Жрец, мои люди нуждаются в Одине. Я переведу 200 шиллингов вам за помощь в этом вопросе.
dlga_pagano1_action:close_window|Ничего. Прощайте.
dlga_pagano2_action:close_window|Я буду говорить о ваших мужчинах Одину, Тору и Фрейи. Это будет стимулировать их, чтобы гордо сражаться на вашей стороне, чтобы заработать свои места в Вальхалле.
dlga_kinghorik_quest_thething90_1:kinghorik_quest_thething95|{s2}^^Хорошо сказано. Я думал, вы не дадите ему слова.
dlga_kinghorik_quest_thething94:kinghorik_quest_thething95|{reg59?Ее:Его} мать была среди добычи от набега на Фризию. Во время него я атаковал судно Одинокий Рик. Она была моей рабыней по праву, но затем я обнаружил, что она мудра. Теперь она моя советница... и моя жена..^^{s2}
dlga_kinghorik_quest_thething95:kinghorik_quest_thething10|Ми выслушали обе стороны. Пришло время вызвать свидетелей.
dlga_kinghorik_quest_thething10:kinghorik_quest_thething11|{s2}^^Я Эгиль. Вы знаете меня, и да проклянут меня боги, если я солгу.Я был на ферме Ульфа, когда появился Олвир. Мой отец, король Хорик, обеспокоин тем, что творится в тех землях. Поэтому был вынужден отправить меня в путь с  {playername}. Олвир пришел с отрядом воинов. И клянусь, именно он начал схватку. Олвир умер хорошей смертью, но именно он все и затеял. {playername} не убийца.
dlga_kinghorik_quest_thething11:kinghorik_quest_thething11_1|К сожалению для тебя, я могу доказать, что ты лжец. Олвир не умер хорошей смертью, он был зарублен собственным мечом. {reg59?Она не позволила:Он не позволил} моему брату взяться за меч в его последне мгновения, закрыв ему путь в Вальгаллу! Эльгир лжец, и его свидетельство ничего не стоит.
dlga_kinghorik_quest_thething11:kinghorik_quest_thething12|{s2}^^Мы выслушали показания. Спасибо, Эгиль. Свен, у тебя есть свидетели?
dlga_kinghorik_quest_thething11_1:kinghorik_quest_thething12|{s2}^^Эгиль лжет! А значит, его показания недействительны. Свен, у тебя есть свидетели?
dlga_kinghorik_quest_thething13:kinghorik_quest_thething13_1|Мы хотели бы выслушать присутствующих ярлов. Что вы думаете?
dlga_kinghorik_quest_thething13_5:kinghorik_quest_thething14|{s2}^^Воззвав к мудрости Одина, мы готовы вынести вердикт.
dlga_kinghorik_quest_thething14:kinghorik_quest_thething14_1|Я Сигурд, сын Рагнара Лодброка, прошу слова, потому что данный случай - не более чем ветвь на дереве, а ветвь может скрывать реальные проблемы.
dlga_kinghorik_quest_thething14_1:kinghorik_quest_thething14_2|Говори же, ярл Сигурд, сын Рагнара, память которого мы все почитаем и который ждет нас среди богов, ддабы подготовить к Рагнреку.
dlga_kinghorik_quest_thething14_2:kinghorik_quest_thething14_3|{s2}^^Когда мой отец был жив, он собрал свободных людей не для разговоров с бандитами, что убивают достойных людей, подобных Олвиру Беловосому. Но времена изменились, или по крайней мере некоторые так думают. Я считаю, что {reg59?эта женщина:этот человек}, {playername}, лишь пешка в руках иных сил.
dlga_kinghorik_quest_thething14_3:kinghorik_quest_thething14_4|{s2}^^Мой король, Сигурд 'Змеиный Глаз' здесь не для переговоров с {playername}. Он хочет твой трон, как мы и боялись.
dlga_kinghorik_quest_thething14_4:kinghorik_quest_thething14_5|{s2}^^Отец, мы должны сорвать речь Сигурда. {playername} {reg59?должна:должен} признать свою вину и понести наказание, которое назначи Ассамблея, чтобы покончить с этими уловками! {reg59?Она должна:Он должен} взять на себя роль жертвы, иначе ты можешь потерять свой трон. Сигурд - проницательный человек. Он не атакует тебя открыто в Ассамблее, если у него не будет козыря в рукаве.
dlga_kinghorik_quest_thething14_5:kinghorik_quest_thething14_6|Эгиль, проклятая предательская крыса! Я не поступлюсь своей честью, я невиновен!
dlga_kinghorik_quest_thething14_5:kinghorik_quest_thething14_6.1|Если нужно сделать именно так, то я считаю своим долгом спасти короля.
dlga_kinghorik_quest_thething14_6:kinghorik_quest_thething15|Давайте-ка сохранять спокойствие. Мы не должны сделать ничего, что подорвет уважение Ассамблеи к нам. Баланс сил очень хрупок, и ярлы тут очень важны. Мы должны увидеть, что Сигурд имеет против нас.
dlga_kinghorik_quest_thething15:kinghorik_quest_thething15_1|{s2}^^У Свена был свидетель, Ульф Торирссон, который мог бы подтвердить, что Олвир был убит, но король Хорик послал {playername} на ферму Ульфа, и Свен лишился своего лучшего свидетеля. У меня был другой человек, Атли Эйрикссон, которому я всецело доверял, и которому я поручил оберегать нечто очень важное для меня. Но король Хорик послал {playername} убить его.^^{s3}
dlga_kinghorik_quest_thething15_1:kinghorik_quest_thething15_2|{s2}^^Сигурд Рагнарссон, ты много говорил, оскорбил меня и задел мою честь, но у тебя нет ни доказательств, ни свидетелей. Это для тебя так не закончится.
dlga_kinghorik_quest_thething15_2:kinghorik_quest_thething15_31|Пусть он закончит. Все здесь хотят узнать, тчто на самом деле произошло.
dlga_kinghorik_quest_thething15_31:kinghorik_quest_thething15_3|Я просто защищал свою честь!
dlga_kinghorik_quest_thething15_3:kinghorik_quest_thething15_4|Да, он имеет право и разрешение говорить. И если он способен доказать свои слова, то может настало время сменить правителя.
dlga_kinghorik_quest_thething15_4:kinghorik_quest_thething15_5|Хорик - хороший король. Тебе бы лучше доказать свои слова, Сигурд.
dlga_kinghorik_quest_thething15_5:kinghorik_quest_thething15_6|Все будет со временем, но сперва я хочу продолжить свою мысл, что все серьезнее, чем нам кажется. Итак, мы имеем 800 человек, готовых к отправке в Енглаланд на помощь моим братьям. Кроме них, ярл Кеннемера пообещал мне еще не менее 400 человек. Но король Хорик посылает {playername} во Фризию, чтобы саботировать это начинание. На случай, если этого окжется недостаточно, Хорик предлагает Гутруму возглавить этих людей, хотя именно я набрал их и обеспечил судами и провизией...
dlga_kinghorik_quest_thething15_6:kinghorik_quest_thething15_7|Все будет со временем, но сперва я хочу продолжить свою мысл, что все серьезнее, чем нам кажется. Итак, мы имеем 800 человек, готовых к отправке в Енглаланд на помощь моим братьям. Кроме них, ярл Кеннемера пообещал мне еще не менее 400 человек. Но король Хорик посылает {playername} во Фризию, чтобы саботировать это начинание. На случай, если этого окжется недостаточно, Хорик предлагает Гутруму возглавить этих людей, хотя именно я набрал их и обеспечил судами и провизией...
dlga_kinghorik_quest_thething15_7:kinghorik_quest_thething15_8|Сигурд Рагнарссон, твои обвинения очень серьезны. Ты имеешь доказательства или свидетелей для подтверждения своих слов?
dlga_kinghorik_quest_thething15_8:kinghorik_quest_thething16|Да. Здесь человек, который путешествовал с {playername} все это время, кто среди нас прямо сейчас и может дать показания. Его имя Регинхард, и он слуга ярла Кеннемера.
dlga_kinghorik_quest_thething16:kinghorik_quest_thething16_2|Редингард, подойди. Подтверждаешь ли ты слова Сигурда Рагнарссона?
dlga_kinghorik_quest_thething16_2:kinghorik_quest_thething16_3|{s2}^^Я... ну... да, верно. Я встретил {playername} во Фризии, когда {reg59?она:он} пытался заслужить доверие ярла Кеннемера, убив Тиадерд, которого я любил всем сердцем. Затем {reg59?она предала:он предал} ярла и  {reg59?сбежала:сбежал} в Данию, где {reg59?преследовала:преследовал} Свена Бычью Шею и Сигурда Рагнарссона из-за ненависти к ним. Когда Олвир и Атли были убиты, {reg59?она присоединиась:он присоединился} к королю Хоррику. Клянусь, что это правда.
dlga_kinghorik_quest_thething16_3:kinghorik_quest_thething16_4|{s2}^^Регинхард?! Почему?!
dlga_kinghorik_quest_thething16_4:kinghorik_quest_thething16_5|{s2}^^{playername}  убийца.Тиадерд был мне как брат, а {playername} убил его и всю его семью! Даже его сына! Я пообещал себе, что однажды отомщу, и этот день настал. Все, чего я хотел - это обзавестись хозяйством, завести жену и детей, но {playername} приносит лишь горе всюду, где появляется. Я хотел защиты, и Сигурд обещал мне ее.
dlga_kinghorik_quest_thething16_4:kinghorik_quest_thething16_5.1|{s2}^^С тобой я не ссорился, Эгиль. Тиадерд был мне как брат, а {playername} {reg59?обманула:обманул} меня и  {reg59?убила:убил} его.  Я пообещал себе, что однажды отомщу, и этот день настал. Все, чего я хотел - это обзавестись хозяйством, завести жену и детей, но {playername} приносит лишь горе всюду, где появляется. Я хотел защиты, и Сигурд обещал мне ее.
dlga_kinghorik_quest_thething16_5:kinghorik_quest_thething17_1|Регинхард, ты меня знаешь. Ты знаешь, как я обхожусь с предателями. Независимо от того, что произойдет сегодня, мы еще встретимся.
dlga_kinghorik_quest_thething16_5:kinghorik_quest_thething18|Как ты однажды сказал, 'Gaed a wyrd swa hio scel', 'Судьба всегда свершается как должно'.
dlga_kinghorik_quest_thething17_1:kinghorik_quest_thething18|Я так не думаю.Мы никогда больше не встретимся.Яполучу свою ферму,семью и защиту ярла. А ты сдохнешь или будешь объявлени вне закона.
dlga_kinghorik_quest_thething18:kinghorik_quest_thething19|Король Хорик, Сигурд Рагнарссон выдвинул очень серьезные обвинения, подтвержденные свидетельствами. Что скажешь в свою защиту?
dlga_kinghorik_quest_thething19:kinghorik_quest_thething20|{s2}^^Я не знаю этого Регинхарда. Может, он просто лжец, купленный Сигурдом. В любом случае, он свидетельствовал не против меня - лишь против {playername}. Ведь он нигде не упоминал меня, как и то, чтоI {playername} помогал мне в каких-либо преступлениях. Если это все, что Сигурд Рагнарссон имеет против меня, я требую компенсации за оскорбление моей чести.
dlga_kinghorik_quest_thething20:kinghorik_quest_thething20_1|{s2}^^Боги знают, что ты уничтожил моих свидетелей и доказательства, подослав своего пса к Атли Эйрикссону и Ульфу Торирссону. Но этот человек был вместе с {playername} и видел все. Так что он сможет подтвердить, что ты замешан.
dlga_kinghorik_quest_thething20_1:kinghorik_quest_thething20_2|Я называю Регинхарда лжецом, ослепленным ненавистью ко мне. Так что это просто его слово против моего.
dlga_kinghorik_quest_thethingdialogextend1:kinghorik_quest_thething20_2|Регинхард предал своего первого хозяина, Тиадерда, как сейчас предает меня. Мог ли кто-либо распознать врага в собственном войске? Этот человек только что продемонстрировал, что доверия ему быть не может.
dlga_kinghorik_quest_thething20_1:kinghorik_quest_thething20_3|Этот человек, Регинхард, говорит правду. Все было как он описал.
dlga_kinghorik_quest_thething20_3:kinghorik_quest_thething20_4|Что? Я тоже был в отряде {playername} и клянусь богами, этот человек лжет! Я вызываю его на поединок до смерти, если он продолжит утверждать, что говорит правду!
dlga_kinghorik_quest_thething20_4:kinghorik_quest_thething20_5|Я, Харальд Харальдссон, буду секундантом Эгиля в этом поединке.
dlga_kinghorik_quest_thething20_5:kinghorik_quest_thething20_6|О боги, что ты творишь, {playername}? Ты не в себе, что ли? Я предал тебя, так почему же ты поддерживаешь меня?!
dlga_kinghorik_quest_thething20_6:kinghorik_quest_thething20_7|Потому что, хотя  ты и ходячая проблема, что не прочь использовать людей для собственной выгоды, в глубине души ты хороший человек. А главное - ты мой друг...
