str_no_string|NO STRING!
str_parent_noble|мелкий дворянин
str_parent_merchant|торговец
str_parent_guard|солдат мелкого лорда
str_parent_forester|разбойник
str_parent_nomad|серф
str_parent_thief|раб
str_parent_priest|крестьянин
str_childhood_page|выросли при дворе
str_childhood_apprentice|ученик кузнеца
str_childhood_stockboy|ученик торговца
str_childhood_urchin|дитя улиц
str_childhood_nomad|крестьянин
str_childhood_mummer|раб
str_childhood_courtier|ученик барда
str_childhood_noble|оруженосец
str_childhood_acolyte|послушник
str_job_bravo|{reg11?жена мелкого дворянина:мелкий дворянин}
str_job_merc|раб
str_job_noble|{reg11?девушка на выданье:солдат}
str_job_troubadour|бард
str_job_student|{reg11?крестьянка:крестьянин}
str_job_peddler|торговец
str_job_craftsman|кузнец
str_job_poacher|браконьер
str_job_preacher|странствующий проповедник
str_reason_revenge|жажда мести
str_reason_death|потерянная любовь
str_reason_wanderlust|тяга к странствиям
str_reason_fervor|религиозное рвение
str_reason_disown|изгнание из дома
str_reason_greed|жажда денег и власти
str_christian|кельтское христианство
str_oldgods|многобожие, кельтские боги
str_pagangods|многобожие, германские боги
str_romanc|римское христианство
str_story_all|{s18}{s1} 
str_story_swadian|Вы человек среднего роста из западногерманского племени англов. В V веке нашей эры ваш народ пришел в Британию из Шлезвига и основал здесь королевства Восточная Англия, Мерсия и Нортумбрия. Начиная с VI-VII веков, англами стали называть всех жителей Британии германского происхождения.^^
str_story_swadian2|Вы рослый и сильный человек из западногерманского племени англов. В V веке нашей эры ваш народ пришел в Британию из Шлезвига и основал здесь королевства Восточная Англия, Мерсия и Нортумбрия. Начиная с VI-VII веков, англами стали называть всех жителей Британии германского происхождения.^^
str_story_swadian3|Вы невысокий, но ловкий человек из западногерманского племени англов. В V веке нашей эры ваш народ пришел в Британию из Шлезвига и основал здесь королевства Восточная Англия, Мерсия и Нортумбрия. Начиная с VI-VII веков, англами стали называть всех жителей Британии германского происхождения.^^
str_story_saxon|Вы человек среднего роста из германского племени саксов. В древности ваш народ обитал в устье Эльбы, но в V-VI веках обосновался в Британии.^^
str_story_saxon2|Вы рослый и сильный человек из германского племени саксов. В древности ваш народ обитал в устье Эльбы, но в V-VI веках обосновался в Британии.^^
str_story_saxon3|Вы невысокий, но ловкий человек из германского племени саксов. В древности ваш народ обитал в устье Эльбы, но в V-VI веках обосновался в Британии.^^
str_story_jute|Вы человек среднего роста из германского племени ютов. В V-VI веках нашей эры ваш народ пришел в Британию из Ютландии и обосновался на юге, юго-востоке и острове Уайт.^^
str_story_jute2|Вы рослый и сильный человек из германского племени ютов. В V-VI веках нашей эры ваш народ пришел в Британию из Ютландии и обосновался на юге, юго-востоке и острове Уайт.^^
str_story_jute3|Вы невысокий, но ловкий человек из германского племени ютов. В V-VI веках нашей эры ваш народ пришел в Британию из Ютландии и обосновался на юге, юго-востоке и острове Уайт.^^
str_story_frisian|Вы человек среднего роста из германского племени фризов. Ваш народ широко расселился по Европе и Скандинавии, и в V веке нашей эры пришел в Британию.^^
str_story_frisian2|Вы рослый и сильный человек из германского племени фризов. Ваш народ широко расселился по Европе и Скандинавии, и в V веке нашей эры пришел в Британию.^^
str_story_frisian3|Вы невысокий, но ловкий человек из германского племени фризов. Ваш народ широко расселился по Европе и Скандинавии, и в V веке нашей эры пришел в Британию.^^
str_story_vaegir|Вы человек среднего роста из древнего племени пиктов. Ваш таинственный народ обитает на севере Британии.^^
str_story_vaegir2|Вы рослый и сильный человек из древнего племени пиктов. Ваш таинственный народ обитает на севере Британии.^^
str_story_vaegir3|Вы невысокий, но ловкий человек из древнего племени пиктов. Ваш таинственный народ обитает на севере Британии.^^
str_story_khergit|Вы человек среднего роста из кельтского племени бриттов. Ваш народ с незапамятных времен обитает на территории Британии.^^
str_story_khergit2|Вы рослый и сильный человек из кельтского племени бриитов. Ваш народ с незапамятных времен обитает на территории Британии.^^
str_story_khergit3|Вы невысокий, но ловкий человек из кельтского племени бриттов. Ваш народ с незапамятных времен обитает на территории Британии.^^
str_story_nord|Вы человек среднего роста из кельтского племени ирландцев. Ваш народ с незапамятных времен обитает на территории Ирландии.^^
str_story_nord2|Вы рослый и сильный человек из кельтского племени ирландцев. Ваш народ с незапамятных времен обитает на территории Ирландии.^^
str_story_nord3|Вы невысокий, но ловкий человек из кельтского племени ирландцев. Ваш народ с незапамятных времен обитает на территории Ирландии.^^
str_story_rhodok|Вы человек среднего роста из народа римлян. Ваши предки когда-то жили на территории этой провинции.^^
str_story_rhodok2|Вы рослый и сильный человек из народа римлян. Ваши предки когда-то жили на территории этой провинции.^^
str_story_rhodok3|Вы невысокий, но ловкий человек из народа римлян. Ваши предки когда-то жили на территории этой провинции.^^
str_story_parent_noble|Ваш отец -- мелкопоместный дворянин, имевший пять хайдов земли. Он был вассалом короля, и всякий раз по его зову вел в поход свое небольшое войско.^^
str_story_parent_merchant|Вы {reg11?дочь:сын} зажиточного странствующего торговца, переезжавшего с места на место в поисках прибыли.^^
str_story_parent_guard|Ваш отец состоял на службе у местного землевладельца и не раз проявил себя в сражениях. Лорд высоко ценил его и на каждом пиру выпивал в его честь.^^
str_story_parent_forester|Вашему отцу пришлось заняться разбоем, чтобы выжить. С тех пор, как местные жители признали его преступником, он скрывался в лесах. Порой ваша мать передавала ему самое необходимое, но обычно он жил грабежом. Он погиб от руки солдата, чей отряд был послан обезопасить окрестности.^^
str_story_parent_nomad|Ваш отец трудился на землях лорда. Он жил обычной нелегкой жизнью серфа.^^
str_story_parent_thief|Ваш отец был рабом местного лорда и работал в поте лица, чтобы избежать побоев.^^
str_story_parent_priest|Ваш отец, крестьянин, платил лорду оброк и работал на его земле в обмен на собственный надел. Имея в хозяйстве лошадь, он порой служил гонцом во время сражений, но обычно состоял в войске лорда простым пехотинцем, вооруженным щитом и копьем.^^
str_story_childhood_page|{reg11?В детстве вас обучали ездить верхом и вести хозяйство в отсутствие мужчин. Вы любили смотреть, как ваши братья упражняются с оружием, и вы часто повторяли их движения, когда никто не видел. Вы разбирались в амулетах и эликсирах, защищающих от сглаза. Вам нравилось ткать и вышивать красивые узоры на платьях и гобеленах. Иногда вам позволяли наливать вино важным гостям, и вы гордились этой честью.:В детстве вас обучали ездить верхом, владеть оружием и командовать на поле боя. Во время пиров вы учились правильно вести себя с солдатами; присутствовали при судебных разбирательствах. В прошлом вы любили состязаться в силе, бороться, скакать на лошадях и драться на мечах.}^^
str_story_childhood_apprentice|{reg11?В детстве, хоть это и необычно для девочки, вы были в услужении у кузнеца. Это занятие казалось опасным и трудным, но с годами вы многое узнали об оружии и инструментах, которые могли себе позволить только богатые люди. От работы с раскаленным металлом ваши руки стали сильными, как железо. Чтобы проверить изготовленное оружие, мастер учил вас обращаться с мечом, топором и копьем. Вы не только помогали ему в работе, но и продавали товар, стараясь набить цену.:В детстве вы были в услужении у кузнеца. Это занятие казалось опасным и трудным, но с годами вы многое узнали об оружии и инструментах, которые могли себе позволить только богатые люди. От работы с раскаленным металлом ваши руки стали сильными, как железо. Чтобы проверить изготовленное оружие, мастер учил вас обращаться с мечом, топором и копьем. Вы не только помогали ему в работе, но и продавали товар, стараясь набить цену.}^^
str_story_childhood_stockboy|{reg11?В детстве вы взбивали масло и делали сыр на продажу. Вы очень быстро обучились искусству продать дороже, купить дешевле и оставить покупателя довольным. На рынок в другой город вы ездили верхом на муле. Порой время шло медленно, и вы успевали сочинить историю о том, как прокатились на белом коне под завистливые взгляды других девчонок. А для защиты от грабителей вы пользовались копьем.:В детстве вы были в услужении у зажиточного торговца, обучившись за годы путешествий по миру искусству продать дороже, купить дешевле и оставить покупателя довольным. На рынок в другой город вы ездили верхом на муле. Порой время шло медленно, и вы успевали сочинить историю о том, как мчались на этом муле в битву, а барды воспевали ваши подвиги. Военное искусство тоже было вам не чуждо -- торговец научил вас пользоваться копьем для защиты от грабителей.}^^
str_story_childhood_urchin|Став немного старше, вы оказались на улице, где делали все, чтобы выжить. Воруя еду, попрошайничая, мошенничая, развлекая жителей и работая на бандитов, изо дня в день вы выживали в этом суровом мире, оставаясь на шаг впереди закона и недоброжелателей. Ржавый нож и праща служили вам защитой.^^
str_story_childhood_nomad|{reg11?В детстве вы занимались обычной женской работой. Вы ткали, готовили, делали сыр, варили пиво, собирали хворост и носили воду из колодца. Вы знали, какие травы помогают остановить кровь, поэтому к вам постоянно прибегали деревенские мальчишки. Впрочем, вам этого было мало, и вы попросили братьев обучить вас владению копьем и топором. Хотя вы с трудом могли удержать такое тяжелое оружие, постепенно вы кое-что усвоили.:В детстве вы учились рубить деревья, пахать землю и владеть копьем и щитом. Вы рыбачили, разоряли птичьи гнезда, охотились на диких уток и ходили на оленей и кабанов с луком и джавелинами. Вам нравилось соревноваться, особенно плавать наперегонки. Порой вы пасли коров и овец на далеких пастбищах, где приходилось защищаться от диких животных и самому добывать пищу. Поэтому вы всегда брали с собой пращу и лук. В лесах вы чувствовали себя как дома и знали о них все. Часто вам приходилось устраивать себе временное пристанище во время дождя, поэтому ваша кожа с годами загрубела.}^^
str_story_childhood_mummer|В детстве вы вели тяжелую жизнь раба. Работа в лесу и в поле укрепила вас. Иногда приходилось бежать, чтобы успеть выполнить приказ. Вы научились добывать пропитание, чтобы не терпеть постоянный голод. Опаснее всего было воровать еду, но вы всегда старались, чтобы поблизости никого не оказалось. В конце концов вас заметили, и ваш хозяин жестоко наказал вас в назидание остальным. Ваша кожа загрубела от постоянных побоев. Вы верили, что сможете выдержать все.^^
str_story_childhood_courtier|Ребенком вас призрел странствующий бард, развлекавший на пирах то одного дворянина, то другого. Вам приходилось много работать, но со временем вы научились радовать людей своими представлениями. Вы разыгрывали бои с настоящим оружием и потому владели им вполне сносно. К тому же, вы разучили множество сказаний и песен наизусть.^^
str_story_childhood_noble|Став немного старше, вы стали оруженосцем -- обучались воинскому искусству. Вы многое узнали о ведении войны, командовании, тактике и всем том, что необходимо на поле боя. Больше всего вы любили делить добычу после удачного налета.^^
str_story_childhood_acolyte|{reg11?В детстве вас отправили в близлежащий монастырь. Так вы стали одной из немногих девочек, знавших грамоту. Жизнь в монастыре была строгой, и играть вам было некогда. Большую часть времени вы работали в поле или в мастерской, молились или учились. Вы переписывали книги и украшали страницы, но вам предстояло много лет упорного труда, чтобы стать настоящим мастером. Вы могли оказать первую помощь и знали азы хирургии. В свободное время вы любили метать камни и упражняться с посохом. Но спокойная жизнь вам была не по душе, и вы, хоть это и необычно для девочки, мечтали о приключениях.:В детстве вас отправили в близлежащий монастырь. Так вы стали одним из немногих мальчиков, знавших грамоту. Жизнь в монастыре была строгой, и играть вам было некогда. Большую часть времени вы работали в поле или в мастерской, молились или учились. Вы переписывали книги и украшали страницы, но вам предстояло много лет упорного труда, чтобы стать настоящим мастером. Вы могли оказать первую помощь и знали азы хирургии. В свободное время вы любили метать камни и упражняться с посохом. Но спокойная жизнь вам была не по душе, и вы мечтали о приключениях.}^^
str_story_job_bravo|{reg11?Жена мелкого лорда занимает не последнее положение в обществе. Ваш супруг часто отлучался по заданию сеньора, и забота о наделе ложилась на ваши плечи. Все вопросы в его отсутствие решали вы. Часто вы выезжали верхом вместе с мужем и его солдатами. Хотя он не слишком ценил вашу заинтересованность в оружии, вы все равно тренировались с его людьми. Они хорошо отзывались о вас, особенно когда вы доказали, что не уступаете им в поединках. Вы неплохо разбираетесь в магических амулетах, защищающих от сглаза и злых духов. Вам нравилось шить и ткать узоры на одежде и гобеленах, поэтому наряды вашего мужа были опрятны и красивы. Имея самый высокий статус среди женщин, вы были чашницей на пирах, и гости были поражены вашей обходительностью.:Как мелкий лорд, вы должны были исполнять поручения своего сеньора и короля. Во время войны вы были обязаны предоставить сеньору солдат, которых набирали из крестьян. Вы находили лучших каменщиков и плотников, чтобы поддерживать дома, дороги, мосты и укрепления в хорошем состоянии. Вы следили за исполнением законов, вершили суд и вовремя собирали налоги для короля и церкви. Споры ваших подданных могли разрешать только вы. В свободное же время вы охотились в глуши, тренировались с оружием или соревновались в езде верхом. По праздникам и в дни приезда гостей вы устраивали небольшой пир и приглашали барда петь песни и рассказывать о делах минувших дней.}^^
str_story_job_merc|Вы и не заметили, как стали {reg11?взрослой женщиной:взрослым мужчиной}, и мир как будто изменился. Жизнь раба полна трудов и страданий. Занимаясь тяжелой работой, вы стали выносливей, быстрей и сильней. Случалось, что хозяин не кормил вас, и вы научились добывать пищу самостоятельно. Каждый день был похож на предыдущий. Вы трудились и в дождь, и в солнце, ваша спина начала болеть, но вы не обращали на это внимания. От холода гибли и люди, и животные. Вам повезло больше, чем им. В редкие свободные минуты вы любили метать камни из пращи.^^
str_story_job_noble|{reg11?Вы и не заметили, как стали взрослой женщиной, и мир как будто изменился. Местный лорд заметил ваше искусство владения оружием и был впечатлен. Он предложил вам поступить к нему на службу. Вы узнали о сражениях саксов и бриттов и о том, как извлечь из этого пользу. Лорд обучал вас сражаться в строю и следовать приказам командира. Тренировки проходили ежедневно, и вы свободно владели одноручным, двуручным и древковым оружием. После успешных налетов солдаты делили богатую добычу. Вы часто видели, как одерживают победы обманом и силой, и слушали истории об Артуре и Беовульфе. Пришло время новому герою встать в один ряд с ними.:Вы и не заметили, как стали взрослым мужчиной, и мир как будто изменился. Местный лорд заметил ваше искусство владения оружием и был впечатлен. Он предложил вам поступить к нему на службу. Вы узнали о сражениях саксов и бриттов и о том, как извлечь из этого пользу. Лорд обучал вас сражаться в строю и следовать приказам командира. Тренировки проходили ежедневно, и вы свободно владели одноручным, двуручным и древковым оружием. После успешных налетов солдаты делили богатую добычу. Вы часто видели, как одерживают победы обманом и силой, и слушали истории об Артуре и Беовульфе. Пришло время новому герою встать в один ряд с ними.}^^
str_story_job_troubadour|Вы и не заметили, как стали {reg11?взрослой женщиной:взрослым мужчиной}, и мир как будто изменился. Вы бродили по свету, имея в своем распоряжении лишь лютню и голос. Жили вы небогато. Когда людей не радовали ваши представления, вам приходилось голодать, но зарабатывать музыкой у вас получалось. С годами вы все чаще играли в тавернах для пьяных посетителей и научились выуживать нужные сведения из кого угодно.^^
str_story_job_student|{reg11?Вы и не заметили, как стали взрослой женщиной, и мир как будто изменился. Жизнь свободной крестьянки легче, чем жизнь жены серфа, которой приходилось заниматься всеми делами самой. Несколько слуг помогали вам с тяжелой работой, но ваш муж был небогат, поэтому вы тоже не сидели сложа руки. Он платил оброк лорду и работал на его земле в обмен на собственный надел. Имея в хозяйстве лошадь, он порой служил гонцом во время сражений, но обычно состоял в войске лорда простым пехотинцем, вооруженным щитом и копьем. Муж учил вас обращаться с этим оружием, чтобы вы могли защитить себя, когда его нет дома. Больше всего вам нравилось охотиться в лесах с луком. Когда добыть мясо не удавалось, вы искали съедобные растения на ужин и целебные травы.:Вы и не заметили, как стали взрослым мужчиной, и мир как будто изменился. Жизнь свободного крестьянина легче, чем жизнь серфа, которым приходилось заниматься всеми делами самим. Несколько слуг помогали вам с тяжелой работой, но вы были небогаты, поэтому тоже не сидели сложа руки. Вы платили оброк лорду и работали на его земле в обмен на собственный надел. Имея в хозяйстве лошадь, вы порой служили гонцом во время сражений, но обычно состояли в войске лорда простым пехотинцем, вооруженным щитом и копьем. Больше всего вам нравилось охотиться в лесах с луком и джавелинами. Когда добыть мясо не удавалось, вы искали съедобные растения, которые ваша жена готовила на ужин. В лесах вы чувствовали себя как дома и знали о них все. В прошлом вы любили соревноваться в чем угодно с другими людьми.}^^
str_story_job_peddler|Вы и не заметили, как стали {reg11?взрослой женщиной:взрослым мужчиной}, и мир как будто изменился. Дорога звала вас, и вы путешествовали от деревни к деревне, продавая и покупая все, что могли. Жили вы небогато, но быстро научились выбивать хорошую цену даже у самых скупых старост. Скоро вы сможете создать собственную торговую империю...^^
str_story_job_craftsman|Вы и не заметили, как стали {reg11?взрослой женщиной:взрослым мужчиной}, и мир как будто изменился. Вы были кузнецом, превращали простой металл в прекрасное и прочное оружие и инструменты. Иногда местный лорд назначал вас следить за строительством мостов и укреплений, поэтому вы разбирались и в плотницком деле. Выкованное оружие нужно проверять, поэтому вы умели обращаться с одноручным, двуручным и -- немного -- с древковым оружием. Со временем вы стали мастером кузнечного ремесла, и ваши изделия шли по хорошей цене. Живя в тепле и уюте, вы гордились своей работой и доброй славой.^^
str_story_job_poacher|Вы и не заметили, как стали {reg11?взрослой женщиной:взрослым мужчиной}, и мир как будто изменился. К черту законы, решили вы и ушли в леса, чтобы не беречь каждый грош, как ваши соседи. Вы охотились на оленей, кабанов и гусей и продавали дорогое мясо. Вы рубили деревья под носом у лесников, которые согревали многих людей в холода, и все это за пару шиллингов и, разумеется, бесчестье. В тяжелые времена вы перебивались съедобными растениями, которые находили в глуши.^^
str_story_job_preacher|Вы и не заметили, как стали {reg11?взрослой женщиной:взрослым мужчиной}, и мир как будто изменился. Если вы не трудились в монастыре, то проповедовали слово Божье, путешествуя по миру верхом на муле. Вы наставляли на путь истинный тех, кто слушал вас, и ваши речи были впечатляющи. Хоть вы и поклялись не иметь достатка, в еде и ночлеге вам не отказывали. Крестьяне всегда были гостеприимны по отношению к вам. То и дело местные жители покупали у вас монастырские изделия. Лучше всего вы разбирались в лечении больных и раненых. Много сломанных костей срослось, многие души не оставили бренное тело. С посохом и мешочком камней вы чувствовали себя в пути уверенно.^^
str_story_reason_revenge|Только вы знаете, почему оставили прежнюю жизнь и отправились на поиски приключений. Ярость кипела в вашем сердце, так что это был несложный выбор. Вы жаждете мести. Вы жаждете справедливости. Прошлое не вернуть, но старые долги вы вернете кровью...^^
str_story_reason_death|Только вы знаете, почему оставили прежнюю жизнь и отправились на поиски приключений. Остаться наедине с воспоминаниями о тех, кого вы так любили, было выше ваших сил. Возможно, теперь вы сможете забыть то имя, которое не можете назвать... Вы ухаживали за раной, но судьбу не изменить. Теперь вы сделаете все, чтобы не пережить это вновь.^^
str_story_reason_wanderlust|Только вы знаете, почему оставили прежнюю жизнь и отправились на поиски приключений. Нельзя сказать точно, когда вы полюбили бродяжничать. Дом стал для вас тюрьмой, друзья -- скучными и приземленными. Мечтали ли вы о далеких странах или просто о больших дорогах, оставаться было уже нельзя. Вы просто собрались и ушли, ни разу не оглянувшись.^^
str_story_reason_fervor|Только вы знаете, почему оставили прежнюю жизнь и отправились на поиски приключений. Религиозное рвение не позволяло вам оставаться на одном месте. В мире множество душ еще не приняли Божью благодать. Теперь, куда бы вы ни пришли, вы читаете проповеди, неся людям спасение, будь они добрыми христианами или язычниками. Каждый должен услышать вас к вящей славе Его.^^
str_story_reason_disown|Только вы знаете, почему оставили прежнюю жизнь и отправились на поиски приключений. Впрочем, вы не можете вернуться. Вам попросту некуда возвращаться. Вашего дома больше нет, и в этом огромном мире вы сами по себе. Вы либо сгинете, либо останетесь в живых.^^
str_story_reason_greed|Только вы знаете, почему оставили прежнюю жизнь и отправились на поиски приключений. Всем известно, что вас интересует только собственная выгода. Вы хотите богатства, власти, уважения. Вы хотите, чтобы вас боялись ослушаться. Вы хотите, чтобы люди дрожали, услышав ваше имя. Вы хотите заполучить все, и никто не остановит вас.^^
str_story_christian|Вы были крещены по кельтскому обычаю. Когда в вашу деревню приходил священник, вы внимательно слушали его рассказы. Вы и сейчас преданы своей вере. Кельтское христианство имеет свои характерные черты -- особый расчет праздника Пасхи, выбритая от уха до уха монашеская тонзура, собственная система епитимий и паломничество ради Христа, когда люди покидали дома и полностью доверялись Божьему промыслу.
str_story_oldgods|Ваша семья верила в кельтских богов, и вы запомнили много историй, расказанных вечерами у огня. Вы и сейчас преданы своей вере. Вы поклоняетесь Дон, богине неба, Лиру, богу моря, Гвидиону, повелителю фантазий, Мату-волшебнику и другим.
str_story_pagangods|Ваша семья верила в германских богов, и вы запомнили много историй, расказанных вечерами у огня. Вы и сейчас преданы своей вере. Вы поклоняетесь верховному богу Вотану, Тунору, богу грома и неба, Фриге, богине любви, и другим.
str_story_romanc|Вы были крещены по римскому обычаю. Когда в вашу деревню приходил священник, вы внимательно слушали его рассказы. Вы и сейчас преданы своей вере. Христианство основано на Священном Писании, повествующем о жизни Иисуса Христа и Его апостолов.
str_spy_present|Your spy has infiltrated {s5}.
str_spy_not_present|You have no spy in {s5}.
str_spy_infiltrating|Your spy is infiltrating {s5}.
str_poison_well_desc| My {Lord/Lady}, I have discovered a potent toxin that will disable a goodly number of the population.^If you so wish it, I could mix it into the well water at very little risk of discovery.^Though the toxin will be highly diluted in the well, it should still disable anyone drinking it for atleast a day, perhaps longer.^I will require 500 scillinga for expenses.
str_poison_cattle_desc| My {Lord/Lady}, the wealth of a village is not measured in scillingas, but in cattle.^If the herd was unfortunate enough to be inflicted with some unknown pox, the villagers could not pay their taxes.^Thus, their lord would be financially weakened.^I imagine it would take a village weeks to recoupe such a devastating loss.^The cattle could acquire such a pox for a mere 500 scillingas.
str_cause_unrest_desc| My {Lord/Lady}, the local populace are a brutish lot.^A subtly whispered rumor here and there could stir old grudges into all out rioting.^I can think of nothing more devastating for production and the economy.^Send me 500 scillinga for expenses and I will cause such joyous chaos as this place has never seen!
str_poison_food_desc| My {Lord/Lady}, after leaving the local drinking establishment, I happened to litterally stumble across a bit of useful information.^There before my eyes was a crack in the grainery.^With a bit of work, and 500 scillinga for expenses, I'm sure the crack could accomodate all sizes of vermin into the food stocks.^The troops would have naught but rats to eat during an extended siege.
str_spy_captured| Your spy in {s5} was discovered and sent to the gallows!
str_entrench| Your army is currently entrenched.
str_camp_overrun| CAMP OVERRUN!!! 
str_camp_loss| Your camp has been overrun by the enemy.^{s4} gold was looted from the pay coffers.^{s3}^{s5}^{s6}
str_siege_camp_complete| You have entrenched your position.
str_siege_camp_incomplete| Your camp defenses are not yet complete.
str_siege_camp_none| Your siege camp is vulnerable to attack!
str_skirmisher_name|Skirmish Party
str_attack_party_question| {s7} will not attack {s9} for any less than {reg16} scillingas. Furthermore, the contract with {s7} will end after 16 hours, regardless of the outcome.  Do you agree to pay?
str_no_cash|{s5} Only fools and thieves bargain with coin they do not possess!
str_no_duel|I am unable to consider your request at this time. I have more important matters to attend to.
str_player_king_message|  As your King, I send this missive.
str_player_marshal_message|  As the duly appointed marshal, I must excersize my right to request your obedience in this matter.
str_player_lord_message|  To a fellow in arms I send this message.
str_missed_duel|You failed to meet {s1} for a duel, thus he wins by default. Your reputation has suffered as a result.
str_party_picker_title|Party Picker
str_party_picker_attack| Right click on the party you wish to have attacked, then select the context menu option shown.
str_peasant_trusted_friend| Your efforts to aid the peasants of Britannia has gained you their trust and support. The King's of the land, however, now see you as a possible threat to their sovereignty.
str_peasant_patron_saint| The peasants of the land have proclaimed you their Patron Saint. You have given them hope and courage. Many of them are now waiting to take up arms to aid you in your efforts to unite Britannia.
str_circunvalation_complete|>> Your men have worked hard and the circunvallation is done. The place does not receive food or men by land (Circunvallation done).
str_circunvalation_incomplete|>> Your men are finishing construction of the circunvallation.
str_circunvalation_none|>> There_is_no_blockade._Men_and_supplies_can_enter_and_exit_practically_at_will
str_puerto_complete|>> Closed port, the settlement is closed by sea (Port closed done)..
str_puerto_incomplete|>> Your men are buy-requisitioned ships and built war canoes.
str_puerto_none|>> This place has a port. The enemy received food support in the form of merchant ships that docked in its port.
str_dplmc_gather_information|gather information
